"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m1",11878.9,10214.9,-0.1621,0.0114,-0.0263
"m2",362.4,-1301.6,-0.0665,0.3527,-0.2858
"m3",10361.2,8697.2,-0.1632,-0.0554,0.1497
"m4",0,-1664,-0.1261,-0.0324,0.0618
