"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9"
"peel.1",0.130298845329248,-0.14225342484412,-0.413440328296898,-0.184027174908163,-0.107659027189468,-0.219458185180083,-0.413440328296898,-0.253391595812823,-0.050250279067595,-0.115520860826808,-0.126215922835522,-0.073593402160085,-0.0673954234837989,-0.0616561491392955,-0.0489094853485324
"peel.2",0.318113740377872,-0.234469444933782,-0.729592514774981,-0.437031985576584,-0.222467771639042,-0.606573499569257,-0.729592514774981,-0.165580100153537,-0.240597586013812,-0.253405657384185,-0.162416503189313,-0.147462862727185,-0.126879740279327,-0.12009734973864,-0.113726318066931
"peel.3",0.40204843062502,-0.309335189996215,-0.0738419713499006,-0.25743850781259,-0.259212757287126,-0.183183106373985,-0.0738419713499006,-0.384508151674687,-0.393307466041603,-0.222874229510079,-0.219322736482028,-0.182232253238895,-0.177498316524378,-0.16205606569726,-0.149873106545439
"peel.4",0.365086951083945,-0.297618302772804,-0.582427443904741,-0.377229586113819,-0.228720809427216,-0.479118075864425,-0.582427443904741,-0.508697665666075,-0.268124848211498,-0.273163576931981,-0.212324651049037,-0.211938634209583,-0.190909289856658,-0.193761257003552,-0.175598690205958
"peel.5",0.246221633470049,-0.183191731339704,-0.756370880807337,-0.3496556993905,-0.173007122039225,-0.61791692022098,-0.756370880807337,-0.207605598823043,-0.157441542203085,-0.118857352215011,-0.178076242528805,-0.154795290722285,-0.187648322993586,-0.15773038001421,-0.170840423871916
"Mohn.rho",0.292353920177227,-0.233373618777325,-0.511134627826772,-0.321076590760331,-0.198213497516415,-0.421249957441746,-0.511134627826772,-0.303956622426033,-0.221944344307519,-0.196764335373613,-0.179671211216941,-0.154004488611607,-0.15006621862755,-0.139060240318592,-0.131789604807755
