Year,SSB
1971,10093
1972,9298
1973,8617
1974,8327
1975,7526
1976,7316
1977,8841
1978,9689
1979,9848
1980,10347
1981,11212
1982,13547
1983,13008
1984,9568
1985,13103
1986,13692
1987,11364
1988,16606
1989,26324
1990,19126
1991,10846
1992,9073
1993,12280
1994,14358
1995,13022
1996,15904
1997,14076
1998,12544
1999,10912
2000,7580
2001,8470
2002,10756
2003,8810
2004,4606
2005,3368
2006,3746
2007,5093
2008,5412
2009,5027
2010,4872
2011,8957
2012,13480
2013,9486
2014,4762
2015,4687
2016,5264
2017,3669
2018,4179
