Year,F2_5
1971,0.557
1972,0.517
1973,0.541
1974,0.375
1975,0.678
1976,0.554
1977,0.349
1978,0.361
1979,0.467
1980,0.694
1981,0.808
1982,0.64
1983,0.834
1984,0.531
1985,0.539
1986,0.787
1987,0.811
1988,0.639
1989,0.817
1990,0.855
1991,0.981
1992,0.851
1993,0.749
1994,0.75
1995,0.726
1996,0.855
1997,0.809
1998,0.962
1999,0.883
2000,0.771
2001,0.768
2002,0.866
2003,0.949
2004,0.968
2005,0.999
2006,0.842
2007,0.843
2008,0.768
2009,0.784
2010,0.574
2011,0.503
2012,0.698
2013,0.977
2014,0.81
2015,0.89
2016,0.63
2017,0.61
