Year,1,2,3,4,5,6,7+
1971,0.219,0.685,0.635,0.550,0.359,0.519,0.519
1972,0.006,0.518,0.397,0.567,0.585,0.521,0.521
1973,0.165,0.731,0.553,0.437,0.442,0.481,0.481
1974,0.001,0.208,0.290,0.407,0.595,0.435,0.435
1975,0.156,0.367,0.313,1.160,0.871,0.791,0.791
1976,0.034,0.838,0.327,0.333,0.717,0.463,0.463
1977,0.011,0.570,0.352,0.135,0.338,0.277,0.277
1978,0.097,0.431,0.405,0.322,0.287,0.340,0.340
1979,0.089,0.340,0.512,0.433,0.585,0.515,0.515
1980,0.066,0.513,0.601,0.896,0.767,0.764,0.764
1981,0.082,0.776,0.987,0.890,0.580,0.829,0.829
1982,0.048,0.680,0.653,0.642,0.586,0.633,0.633
1983,0.274,0.747,0.987,0.861,0.741,0.874,0.874
1984,0.153,0.617,0.499,0.514,0.496,0.507,0.507
1985,0.175,0.577,0.624,0.505,0.450,0.531,0.531
1986,0.184,0.752,0.881,0.978,0.536,0.808,0.808
1987,0.148,0.596,0.757,1.165,0.726,0.894,0.894
1988,0.215,0.691,0.497,0.606,0.763,0.629,0.629
1989,0.269,0.768,1.010,0.510,0.978,0.843,0.843
1990,0.121,0.923,0.942,0.954,0.602,0.843,0.843
1991,0.170,0.865,0.869,1.173,1.018,1.034,1.034
1992,0.172,0.786,0.948,0.724,0.948,0.884,0.884
1993,0.101,0.656,0.908,0.705,0.726,0.789,0.789
1994,0.135,0.536,1.067,0.793,0.603,0.831,0.831
1995,0.116,0.811,0.588,0.920,0.585,0.705,0.705
1996,0.114,0.742,1.000,0.618,1.059,0.904,0.904
1997,0.166,0.837,1.055,0.838,0.505,0.809,0.809
1998,0.180,0.927,0.989,1.098,0.835,0.987,0.987
1999,0.319,0.795,1.008,0.808,0.920,0.924,0.924
2000,0.230,0.787,0.974,0.728,0.593,0.802,0.802
2001,0.174,0.825,0.675,0.719,0.853,0.587,0.587
2002,0.133,0.817,1.102,0.929,0.615,0.348,0.348
2003,0.108,0.874,1.226,1.072,0.624,0.349,0.349
2004,0.163,0.720,0.959,1.059,1.133,0.889,0.889
2005,0.096,0.770,1.153,1.014,1.060,0.691,0.691
2006,0.110,0.750,0.936,0.739,0.944,1.176,1.176
2007,0.180,0.941,1.030,0.689,0.712,0.845,0.845
2008,0.105,0.657,0.796,0.899,0.722,0.886,0.886
2009,0.072,0.495,0.789,0.686,1.167,0.817,0.817
2010,0.052,0.376,0.495,0.601,0.823,1.164,1.164
2011,0.512,0.681,0.415,0.450,0.467,0.426,0.426
2012,0.057,0.410,0.876,1.046,0.460,0.404,0.404
2013,0.111,0.709,0.986,0.982,1.233,0.914,0.914
2014,0.158,0.750,0.902,0.848,0.990,0.542,0.542
2015,0.074,0.778,0.820,0.676,0.715,0.554,0.554
2016,0.070,0.335,0.930,0.633,0.442,0.495,0.495
2017,0.047,0.424,0.711,0.529,0.782,0.618,0.618
