"Year","Frep","Low","High","SSB","Low","High","R","Low","High","PredCatch"
1980,0.40967,0.32171604602177,0.52166968659264,43838,10.5671694649716,181862347.374134,45826,40317.2595654321,52087.4260462026,14484.02
1981,0.41552,0.332644567646022,0.519043108450008,36335,11.0780616167822,119175382.00004,27560,23939.2970815571,31728.3167259394,13057.3
1982,0.60647,0.490894412479548,0.749256564241957,31451,10.883458540281,90887046.368485,19928,17210.133548669,23075.0785795449,14951.36
1983,0.59952,0.491784413940634,0.73085730293882,23667,10.8796215794745,51484041.5090113,25316,22270.1641113908,28778.4074151565,11776.55
1984,0.62715,0.518656807260861,0.758337916313472,19077,10.5842957278674,34384142.1627895,12694,10741.2398495626,15001.7724449717,9258.086
1985,0.72654,0.597940053678378,0.882798147327202,12969,8.45723669574435,19887697.0162884,25380,22292.1018130143,28895.6333235453,6474.563
1986,0.62622,0.504458134823017,0.777371720921066,8788.4,7.10874091937256,10864930.2930029,24704,21535.3134224558,28338.9242602631,4519.372
1987,0.67944,0.542599045499279,0.850791606489498,7764.6,8.77964996407643,6866903.96618131,44089,39306.2081547954,49453.7634702585,4164.981
1988,0.66561,0.524424674597065,0.844805161847889,6959.1,11.934294807369,4057975.23789147,66990,60538.259441821,74129.3215460344,3825.75
1989,0.84666,0.666589736974265,1.07537382566644,6115.9,17.9781379350238,2080539.87266009,29628,25840.4709925821,33970.6804977351,3746.93
1990,0.71909,0.568921303604507,0.908896230153234,5875.2,35.1306972780251,982558.779486327,33690,29671.173714965,38253.1581292837,4136.415
1991,0.67849,0.543483833183495,0.847032886706997,9086.4,146.782772026752,562481.984908642,22883,19749.7714890343,26513.3036749685,6235.127
1992,0.6775,0.547055295917551,0.839049093255061,11209,457.000979929534,274926.502388185,29727,26028.394279001,33951.1734580162,7560.619
1993,0.60767,0.486026157538121,0.759759167634999,10722,889.540700111278,129236.67684415,54895,49319.5645639961,61100.7224341933,6561.26
1994,0.62276,0.492754281542225,0.787065748847818,10202,1883.42461954041,55261.4651630697,42440,37817.2902908122,47627.7804715584,5904.288
1995,0.65517,0.514083250798178,0.834977074692747,9411.3,4219.55213771358,20990.9878582503,23543,20510.4468547326,27023.9284851127,5892.411
1996,0.51574,0.40205647638878,0.661568120949245,10044,6450.47888945593,15639.4490593409,23962,20923.7039861893,27441.4818895825,5153.484
1997,0.51321,0.37149277271374,0.708989577848276,11929,9178.6646777087,15503.4578554321,18546,16001.9049895256,21494.5730664656,4875.438
1998,0.41571,0.299406413798521,0.577191389815355,12977,10124.8901269208,16632.5290337956,26522,23284.2994400258,30209.9054262644,4156.497
1999,0.35322,0.254634122162055,0.48997505652678,11480,9325.1216121054,14132.8344532168,29932,26400.1944182897,33936.2888698773,3732.336
2000,0.36055,0.263906341214914,0.492584990195959,12282,9926.68122888925,15196.1688425124,15509,13281.6369519425,18109.8972867814,4246.851
2001,0.46308,0.340777799272763,0.629275401324947,12703,10249.6383255851,15743.6002982855,13658,11594.4610970535,16088.7998535271,4415.498
2002,0.45314,0.326090378746695,0.629690027621157,11411,9004.3398219294,14460.9070265075,23105,20033.0676125618,26647.9919762889,3873.839
2003,0.40284,0.280471914504099,0.578596491156438,10791,8400.75315981193,13861.33823775,19962,17152.3272931359,23231.9169981945,3227.003
2004,0.30497,0.211075014438904,0.440633398260035,9599.9,7258.28077756709,12696.9571492508,29181,25480.0430806805,33419.5181029992,2338.199
2005,0.21367,0.15190104317827,0.300556651519633,9740.2,7317.6992051702,12964.6618944067,33964,29849.8808175846,38645.1558399671,1722.484
2006,0.16093,0.117544105877696,0.220329762233652,11272,8725.47310186918,14561.7300651333,29990,26330.5181632545,34158.0858539713,1442.635
2007,0.098923,0.0746904224145596,0.131017600552389,13937,11121.9432999507,17464.5710521525,15051,12864.238005172,17609.4845966721,1273.561
2008,0.10201,0.0776636735628477,0.133988512551871,16113,13504.9803417867,19224.6684133752,22104,19327.5994866054,25279.2291323403,1402.579
2009,0.13143,0.100087000578574,0.172588296183768,17087,14473.583555588,20172.3068705592,14606,12573.9277150871,16966.4754588994,1877.686
2010,0.12166,0.0934665084435886,0.158357852951501,16753,14235.5978184607,19715.5758809115,11847,10084.9422525348,13916.9273839643,1865.815
2011,0.11154,0.086191920865777,0.144342665472952,16781,14310.4034338122,19678.1287335785,15973,13727.8074156801,18585.3954148991,1627.371
2012,0.1467,0.113307531774708,0.189933446284846,15855,13462.876582672,18672.162925682,12367,10391.2205966313,14718.4527147447,1838.799
2013,0.13017,0.101025929481128,0.167721583825322,15853,13298.3840627663,18898.3569592982,15085,12537.3965418323,18150.2773913812,1478.095
2014,0.12804,0.0992848272631897,0.165123333060159,16005,13462.8044580857,19027.2410029807,33517,28155.8183877116,39899.0103406227,1352.891
2015,0.12754,0.0989359060186346,0.164414035860107,16644,13968.387232051,19832.1203012157,10250,7239.31870280972,14512.7607048469,1320.181
2016,0.10198,0.0791417770638313,0.131408729824351,18599,15659.4857729738,22090.3039866748,13190,7205.74841620874,24144.0708100015,1108.061
