"Year","Index","Age","logObs","Pred"
2014,1,"1",7.46463013690651,5.63535058612534
2014,1,"2",8.44807434193725,7.16507930922076
2014,1,"3",8.508598243965,7.48473783279618
2014,1,"4",8.72162206051668,7.86912059284041
2014,1,"5",8.1133964054255,7.33109572609971
2014,1,"6",7.28097257728804,7.2353385483199
2014,1,"7",7.67276723048076,7.27155883166079
2014,1,"8",6.80567837413655,6.55694334177457
2014,2,"2",8.90478024677758,7.23260597504726
2014,2,"3",9.23440099539156,7.7115696698528
2014,2,"4",8.86917255704743,8.31346079468254
2014,2,"5",7.47306561840061,7.83542205928339
2014,2,"6",7.4246774360543,7.75193676627512
2014,2,"7",7.70847315222252,7.79049603619968
2014,2,"8",6.51123457683227,7.07631778654043
2014,3,"1",4.95132980061193,6.84097571412951
2014,3,"2",7.38266372077965,7.43624630941071
2014,3,"3",8.32416805846105,7.09495370213306
2014,3,"4",8.65656746779116,7.40130576258986
2014,3,"5",8.40712272762349,6.85722861941698
2014,4,"2",7.80311435576824,7.59322487292174
2014,4,"3",9.49026071068703,7.20202905857558
2014,4,"4",8.90203685805855,7.5072003893224
2014,4,"5",7.67192744230814,6.96309594576049
2014,4,"6",5.78991341680889,6.86689025144857
2015,1,"1",4.84268989361728,5.15155414949365
2015,1,"2",8.76509172892193,7.5024359599853
2015,1,"3",8.71858684275582,7.66898231593506
2015,1,"4",8.14987879117598,7.34349432961126
2015,1,"5",7.57084008850737,7.6246453854504
2015,1,"6",6.72713228655207,7.04075065235031
2015,1,"7",6.18918769991044,6.91614347844311
2015,1,"8",6.60529778944941,6.94249017762485
2015,2,"2",9.76859329989381,7.56996262581179
2015,2,"3",8.90209523324498,7.89581415299167
2015,2,"4",7.89526853002787,7.78783453145339
2015,2,"5",7.64240535390772,8.12897171863408
2015,2,"6",6.24660771675777,7.55734887030553
2015,2,"7",5.90232692201,7.435080682982
2015,2,"8",6.48706460910118,7.46186462239071
2015,3,"1",6.51246154427489,6.35717927749782
2015,3,"2",8.1730577128561,7.77360296017525
2015,3,"3",9.15779022803181,7.27919818527194
2015,3,"4",8.49791135502752,6.87567949936071
2015,3,"5",7.09628686951793,7.15077827876767
2015,4,"2",9.26453518405346,7.93058152368628
2015,4,"3",8.89318100015525,7.38627354171446
2015,4,"4",7.13117455045357,6.98157412609325
2015,4,"5",5.83727980715231,7.25664560511118
2015,4,"6",3.79270230908212,6.67230235547899
2016,1,"1",7.04920278308764,5.55257594808604
2016,1,"2",7.41611384895498,7.01843352930465
2016,1,"3",9.45543334418566,8.00573713884454
2016,1,"4",8.64923152864387,7.52618535211285
2016,1,"5",7.89753071796722,7.09580669608487
2016,1,"6",7.04714329492752,7.32926776097704
2016,1,"7",6.09836658064018,6.71540201507376
2016,1,"8",6.50472239513263,6.58071120441109
2016,2,"2",7.68921256562103,7.08596019513114
2016,2,"3",8.90471238483527,8.23256897590116
2016,2,"4",8.56887705695624,7.97052555395497
2016,2,"5",7.93457224670144,7.60013302926855
2016,2,"6",7.53000999446805,7.84586597893225
2016,2,"7",6.18459447549324,7.23433921961264
2016,2,"8",5.30567511885902,7.10008564917695
2016,3,"1",5.66021499544793,6.75820107609021
2016,3,"2",7.87759400912917,7.2896005294946
2016,3,"3",9.08103787720482,7.61595300818142
2016,3,"4",8.53932220587689,7.0583705218623
2016,3,"5",6.86321717835663,6.62193958940214
2016,4,"2",7.91417966101812,7.44657909300563
2016,4,"3",9.08454809180008,7.72302836462394
2016,4,"4",8.10269812768349,7.16426514859484
2016,4,"5",6.63848691819079,6.72780691574565
2016,4,"6",5.98242988778873,6.96081946410571
