Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1946,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1947,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1948,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1949,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1950,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1951,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1952,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1953,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1954,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1955,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1956,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1957,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1958,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1959,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1960,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1961,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1962,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1963,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1964,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1965,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1966,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1967,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1968,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1969,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1970,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1971,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1972,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1973,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1974,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1975,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1976,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1977,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1978,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1979,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1980,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1981,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1982,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1983,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1984,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1985,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1986,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1987,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1988,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1989,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1990,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1991,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1992,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1993,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1994,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1995,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1996,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1997,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1998,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
1999,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
2000,1.243,0.857,0.731,0.606,0.48,0.355,0.341,0.327,0.313,0.299,0.285,0.271,0.257,0.243
2001,1.243,0.857,0.732,0.606,0.481,0.355,0.341,0.327,0.313,0.299,0.285,0.271,0.257,0.243
2002,1.243,0.857,0.733,0.609,0.485,0.361,0.346,0.332,0.317,0.303,0.288,0.273,0.259,0.244
2003,1.243,0.857,0.736,0.614,0.493,0.372,0.356,0.34,0.325,0.309,0.293,0.278,0.262,0.246
2004,1.243,0.857,0.739,0.621,0.504,0.386,0.369,0.352,0.335,0.318,0.3,0.283,0.266,0.249
2005,1.243,0.857,0.744,0.63,0.517,0.404,0.385,0.366,0.347,0.328,0.309,0.291,0.272,0.253
2006,1.243,0.857,0.749,0.642,0.534,0.426,0.405,0.384,0.363,0.342,0.321,0.299,0.278,0.257
2007,1.243,0.857,0.756,0.655,0.554,0.453,0.43,0.406,0.382,0.358,0.334,0.31,0.287,0.263
2008,1.243,0.857,0.764,0.671,0.577,0.484,0.457,0.43,0.403,0.377,0.35,0.323,0.296,0.269
2009,1.243,0.857,0.772,0.686,0.601,0.515,0.485,0.455,0.425,0.395,0.365,0.335,0.305,0.275
2010,1.243,0.857,0.779,0.701,0.623,0.545,0.512,0.479,0.446,0.413,0.38,0.347,0.314,0.281
2011,1.243,0.857,0.786,0.714,0.643,0.571,0.535,0.5,0.464,0.429,0.393,0.357,0.322,0.286
2012,1.243,0.857,0.791,0.724,0.658,0.592,0.554,0.516,0.479,0.441,0.403,0.366,0.328,0.29
2013,1.243,0.857,0.795,0.733,0.671,0.609,0.57,0.53,0.491,0.451,0.412,0.373,0.333,0.294
2014,1.243,0.857,0.799,0.74,0.682,0.624,0.583,0.542,0.501,0.46,0.419,0.378,0.338,0.297
2015,1.243,0.857,0.802,0.746,0.691,0.636,0.594,0.551,0.509,0.467,0.425,0.383,0.341,0.299
2016,1.243,0.857,0.804,0.751,0.698,0.645,0.602,0.559,0.516,0.473,0.43,0.387,0.344,0.301
2017,1.243,0.857,0.806,0.754,0.703,0.651,0.608,0.564,0.52,0.477,0.433,0.39,0.346,0.302
2018,1.243,0.857,0.806,0.755,0.704,0.653,0.61,0.566,0.522,0.478,0.434,0.39,0.347,0.303
