Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1946,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1947,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1948,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1949,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1950,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1951,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1952,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1953,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1954,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1955,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1956,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1957,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1958,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1959,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1960,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1961,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1962,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1963,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1964,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1965,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1966,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1967,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1968,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1969,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1970,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1971,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1972,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1973,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1974,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
