Years,eb
1946,2121700
1947,3083430
1948,3647870
1949,3734020
1950,2918160
1951,2334190
1952,2682560
1953,3885230
1954,3746480
1955,2267440
1956,1880490
1957,2930820
1958,2472010
1959,2724370
1960,2460990
1961,2519200
1962,2691080
1963,4178300
1964,5357260
1965,4773510
1966,4725570
1967,4379750
1968,3402100
1969,3503860
1970,4336760
1971,5750870
1972,7111350
1973,4449970
1974,3754460
1975,5409470
1976,11725200
1977,9532210
1978,5656850
1979,9460860
1980,9574980
1981,6310890
1982,3918480
1983,3351990
1984,3503470
1985,5248970
1986,3179640
1987,1984940
1988,2008720
1989,1481330
1990,2964900
1991,3521850
1992,2382010
1993,2003650
1994,1969950
1995,1473190
1996,2765110
1997,2810900
1998,2854730
1999,2191670
2000,2839640
2001,1885830
2002,2289100
2003,3893320
2004,3048680
2005,3761230
2006,3955220
2007,3720100
2008,3899100
2009,3379590
2010,3605750
2011,4855190
2012,4993910
2013,3242640
2014,2918140
2015,2145850
2016,3310880
2017,1769730
2018,118322
