Year,3,4,5,6,7,8,9,10,11,12,13,14,gp
1987,0.0419,0.2006,0.5369,0.9222,1.0992,1.2101,1.1001,1.2479,1.3172,1.334,0.7451,1.4677,1.4677
1988,0.0328,0.1512,0.3877,0.7176,0.9848,1.109,1.1126,1.4091,1.4339,1.5409,0.7705,1.3868,1.3868
1989,0.0239,0.1082,0.2611,0.4832,0.6699,0.7996,0.7605,0.9185,0.9202,0.9783,0.5437,1.34,1.34
1990,0.0146,0.0671,0.1541,0.2684,0.3624,0.4382,0.4506,0.5319,0.6049,0.7377,0.4802,1.2334,1.2334
1991,0.0154,0.0778,0.1779,0.2911,0.3536,0.3753,0.3561,0.343,0.3362,0.3922,0.2672,0.8295,0.8295
1992,0.02,0.111,0.2655,0.4319,0.5069,0.5192,0.5037,0.4605,0.4465,0.5172,0.3748,1.181,1.181
1993,0.0162,0.1047,0.2895,0.5068,0.6234,0.6603,0.704,0.6756,0.721,0.8467,0.7058,1.8173,1.8173
1994,0.0156,0.1124,0.3446,0.6645,0.8776,0.941,0.9947,0.9599,1.0501,1.253,1.2254,3.1421,3.1421
1995,0.0156,0.1145,0.3444,0.6395,0.8503,0.9204,0.9746,0.9566,1.0044,1.1432,1.2916,3.3332,3.3332
1996,0.0187,0.1363,0.3827,0.6468,0.7955,0.9128,0.9099,0.9466,0.9659,1.1107,1.1711,2.7943,2.7943
1997,0.0239,0.1867,0.5055,0.7777,0.9092,1.1216,1.1811,1.1776,1.1384,1.1873,0.9501,1.3271,1.3271
1998,0.0258,0.2094,0.5474,0.8066,0.8785,1.0887,1.1754,1.2631,1.1156,1.1767,0.8694,0.9235,0.9235
1999,0.0185,0.1657,0.4918,0.7596,0.8876,1.1002,1.2301,1.2837,1.0766,1.1579,0.8632,0.8066,0.8066
2000,0.012,0.1117,0.3601,0.6121,0.7849,0.9757,1.0804,1.1209,0.8412,0.8814,0.5711,0.588,0.588
2001,0.01,0.0907,0.292,0.5304,0.7185,0.8585,0.8925,0.9475,0.7044,0.724,0.5121,0.7365,0.7365
2002,0.0093,0.0845,0.2724,0.5051,0.719,0.8327,0.7989,0.7946,0.5939,0.6165,0.4194,0.6815,0.6815
2003,0.0098,0.0844,0.2585,0.4538,0.6545,0.7334,0.6879,0.6564,0.4664,0.4336,0.2695,0.401,0.401
2004,0.011,0.0937,0.2857,0.5086,0.7883,0.9257,0.9037,0.8933,0.6443,0.5331,0.2811,0.3553,0.3553
2005,0.0132,0.1095,0.312,0.5114,0.7689,0.9205,0.9132,0.8739,0.6544,0.5475,0.271,0.306,0.306
2006,0.015,0.1142,0.2962,0.4578,0.6555,0.8048,0.8564,0.8624,0.7473,0.7242,0.4319,0.5196,0.5196
2007,0.0138,0.097,0.237,0.3366,0.455,0.5295,0.5575,0.5774,0.5547,0.5682,0.3499,0.373,0.373
2008,0.009,0.0612,0.1503,0.2292,0.3217,0.3788,0.4003,0.4154,0.4351,0.4474,0.2799,0.2528,0.2528
2009,0.0074,0.0484,0.1165,0.1815,0.266,0.3221,0.3542,0.376,0.4322,0.4741,0.3014,0.2206,0.2206
2010,0.0062,0.04,0.0966,0.1566,0.2463,0.3324,0.3769,0.4364,0.5134,0.5095,0.3583,0.2238,0.2238
2011,0.0054,0.036,0.0883,0.1427,0.2267,0.3252,0.3776,0.4322,0.4527,0.3768,0.2551,0.1376,0.1376
2012,0.0057,0.037,0.0899,0.1388,0.204,0.287,0.3364,0.3864,0.3887,0.3039,0.2052,0.1132,0.1132
2013,0.0065,0.0423,0.1039,0.163,0.2279,0.3155,0.3696,0.435,0.4204,0.3091,0.2065,0.1236,0.1236
2014,0.0086,0.0547,0.1338,0.2074,0.2676,0.3429,0.3785,0.4633,0.4459,0.3164,0.2009,0.1219,0.1219
2015,0.0105,0.0656,0.1584,0.2475,0.2979,0.3592,0.3765,0.4917,0.515,0.3519,0.208,0.1227,0.1227
2016,0.0101,0.0628,0.1574,0.2538,0.3117,0.385,0.3934,0.5257,0.5525,0.3778,0.2198,0.1276,0.1276
2017,0.0118,0.0748,0.1887,0.3069,0.3732,0.4745,0.4591,0.6007,0.6223,0.4097,0.2304,0.1287,0.1287
