year,	fleet,	age,	logObs,	pred,	predSd
2014,	2,	1,	4.48528018223252,	3.22057082623023,	0.975784409963916
2014,	2,	2,	8.2890848358325,	5.91314709407693,	0.967491187576515
2014,	2,	3,	7.74185499722511,	6.826888080562,	0.965595883835263
2014,	2,	4,	6.73025766822866,	6.15375713939692,	0.977479576355659
2014,	2,	5,	5.10848769426376,	4.4104495629447,	0.9968944867817
2014,	2,	6,	3.14315177833868,	3.08197766698054,	1.01491370378355
2014,	3,	1,	7.37647683672532,	5.71415327776644,	1.05595055223876
2014,	3,	2,	7.73409066828575,	6.85144269983176,	1.05038459184283
2014,	3,	3,	6.16901222706298,	6.4255632325314,	1.052617823421
2014,	3,	4,	4.78826644262462,	4.74157831587558,	1.07612494019783
2014,	4,	1,	3.61971692537887,	4.52421040672892,	0.891403664856906
2014,	4,	2,	7.57758777217656,	7.14153677493819,	0.883451618420732
2014,	4,	3,	7.58834393029469,	7.57243526438837,	0.881487900553981
2014,	4,	4,	6.26015300242659,	6.5840352459376,	0.894549030320847
2014,	4,	5,	4.44195689783207,	4.28010723512391,	0.913019376720689
2014,	4,	6,	3.07421992660273,	2.95163533915975,	0.933020349905342
2014,	5,	1,	7.38800622467942,	6.19274821294048,	0.868460644346277
2014,	5,	2,	7.33836818062295,	7.03769483899066,	0.862066317515517
2014,	5,	3,	6.14181587567507,	6.40808383879297,	0.865223702742147
2014,	5,	4,	4.26380600328645,	4.19307637500925,	0.890469604736234
2014,	5,	5,	3.00280718722595,	2.27734258444331,	0.949868039285154
2015,	2,	1,	3.81981999337453,	3.14581871025603,	0.995342226453933
2015,	2,	2,	7.27969117987892,	5.9479042173824,	0.987498200304791
2015,	2,	3,	7.99554926021437,	6.88631646192987,	0.984295949521025
2015,	2,	4,	6.51783226438377,	6.24265980904103,	0.998619663166325
2015,	2,	5,	5.031189273044,	4.64542213959768,	1.08895917665212
2015,	2,	6,	3.48909836283662,	2.95882923968924,	1.17529490110161
2015,	3,	1,	6.51553457525523,	5.6397709503979,	1.07405310599518
2015,	3,	2,	7.58724461434344,	6.90086432722637,	1.06999338802519
2015,	3,	3,	5.99784166996719,	6.56131645661605,	1.08085406566763
2015,	3,	4,	3.61530287920522,	5.09328382330359,	1.17790804679442
2015,	3,	5,	2.03355465890736,	3.32361993974652,	1.35178921987329
2015,	4,	1,	3.92487999893065,	4.44945829075472,	0.912731615180042
2015,	4,	2,	7.98499070189066,	7.17629389824366,	0.905324827892357
2015,	4,	3,	8.92619470572898,	7.63186364575624,	0.902219935835398
2015,	4,	4,	7.33717777011605,	6.6729379155817,	0.917728135838041
2015,	4,	5,	5.79622491004576,	4.51507981177689,	1.01225593443065
2015,	4,	6,	4.08844385390113,	2.82848691186844,	1.10493430483128
2015,	5,	1,	8.76059573646386,	6.11836588557194,	0.890399501597828
2015,	5,	2,	7.50145222151129,	7.08711646638527,	0.885783870425321
2015,	5,	3,	5.67730502018278,	6.54383706287762,	0.899211713127458
2015,	5,	4,	3.23380384545244,	4.54478188243725,	1.00937549197093
2016,	2,	1,	4.39107928550515,	3.13661801138409,	1.01211540133411
2016,	2,	2,	7.67425050016382,	5.86244205110388,	1.0064341486948
2016,	2,	3,	8.22669114657721,	6.99667161271212,	1.00543836368514
2016,	2,	4,	7.06486158663503,	6.4918978444786,	1.04366465122538
2016,	2,	5,	5.43342501622643,	5.24004881130768,	1.32728448839017
2016,	2,	6,	4.43162480565121,	3.66203974452947,	1.5606906559138
2016,	3,	1,	6.77379407971826,	5.6307077060289,	1.08962033986164
2016,	3,	2,	7.6420683949079,	6.82165984014746,	1.08803328212785
2016,	3,	3,	6.88743317678223,	6.70548489953385,	1.10604281248316
2016,	3,	4,	4.775554105209,	5.46335570927835,	1.28223150467595
2016,	3,	5,	2.8205511629883,	4.0390804619937,	1.65724199762101
2016,	4,	1,	5.6073449930192,	4.44025759188278,	0.930990774991782
2016,	4,	2,	8.84483656810063,	7.09083173196514,	0.925970682401358
2016,	4,	3,	9.05077472430426,	7.74221879653849,	0.925185491394757
2016,	4,	4,	7.7584573385029,	6.92217595101928,	0.967156452707601
2016,	4,	5,	6.32834741369488,	5.10970648348689,	1.26435451340585
2016,	4,	6,	4.66117237610338,	3.53169741670868,	1.50788332860176
2016,	5,	1,	8.3042301424835,	6.10930264120294,	0.909123424882656
2016,	5,	2,	8.02953706967689,	7.00791197930635,	0.907567968624028
2016,	5,	3,	6.43714346482945,	6.68800550579542,	0.92919930755082
2016,	5,	4,	4.0029965227628,	4.91485376841201,	1.1284609060435
2016,	5,	5,	2.14943391349987,	3.49057852112736,	1.53924256904965
