"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m1",8286.1,6912,-0.2998,-0.0714,0.1535
"m2",369.5,-1004.6,-0.008,0.0355,0.0152
"m3",7161.4,5787.3,0.0418,0.6663,-0.3598
"m4",0,-1374.1,-0.0981,-0.021,0.0407
