"","R(age 1)","Low","High","SSB","Low","High","Fbar","Low","High","Catch","Low","High"
"1982",23666.0902338469,12162.0079372469,46051.9208543922,18060.3005607418,13118.1431409979,24864.3769806829,0.371124474620949,0.253946626127284,0.54237135481233,6148.92132470964,5066.30652397798,7462.87917608699
"1983",10114.8073207447,5356.32505414137,19100.6569059298,17176.625295449,13020.6770169775,22659.071886628,0.520095036229878,0.370111752392274,0.73085722072468,7892.66061901274,6508.00444982741,9571.91903096603
"1984",13996.4846522449,7838.07790848696,24993.5743058137,10432.805307986,7988.1682950218,13625.5800547131,1.0029144142601,0.714377984870533,1.40799036873032,8491.793238333,6994.62482959368,10309.4239018374
"1985",13096.2431806915,7509.22623795813,22840.1142824596,7895.27460068722,5865.49762446199,10627.4633477452,0.710244013751781,0.491710750257911,1.02590101763211,4672.45087586182,3845.76932558393,5676.83481224579
"1986",20512.8059246213,12152.1740801852,34625.5084995266,9224.8702597061,6903.97609310779,12325.9742155485,0.540621941680644,0.377861042039304,0.77349091679091,3869.20779983097,3187.41250077962,4696.84077433061
"1987",10297.8434462159,6091.48448118834,17408.8237391493,9733.41885722994,7513.0814361111,12609.9315515097,0.766014395902583,0.553760685400946,1.05962389566379,5681.72411317603,4689.47688854509,6883.9210994089
"1988",14331.1774077136,8738.16330379218,23504.0979152024,7825.07885643153,6030.52187429012,10153.6584039967,1.08007255354106,0.77428898766794,1.50661670189346,6289.41450469346,5190.26793986982,7621.32808365971
"1989",7710.96719110848,4449.06468909501,13364.3853657803,5892.76194229267,4435.66926455515,7828.50145884702,0.696067078342292,0.495811495290215,0.97720480899374,3980.04605003572,3285.6080781788,4821.25870873358
"1990",7309.52987149706,4224.17407326881,12648.4434626915,8624.71151925347,6435.82376030247,11558.0618054164,0.626201269976982,0.433551876534617,0.904454695606595,4369.86004334756,3596.23744340766,5309.9043372262
"1991",10754.1709360111,6571.49148043541,17599.0782100632,6347.86708749145,4880.06396231514,8257.14926517906,0.74107797372315,0.53547687192417,1.02562144498256,3938.67724404708,3251.15275048438,4771.59322349989
"1992",12271.3240583166,7752.08100499888,19425.1574573481,4179.8476747857,3278.40968613921,5329.14682941476,1.03881166281127,0.777212424175928,1.38846168335113,3562.42968535864,2950.95031834343,4300.61637576086
"1993",18783.5894961873,12122.1680079204,29105.6215464718,4229.10223138003,3217.63139186653,5558.5315734654,0.939762238138294,0.676813784630602,1.30486861273476,3301.46031126356,2732.91262786614,3988.28710281854
"1994",8498.62120383179,5040.80286761938,14328.3846369358,3421.46019972183,2442.47514978811,4792.83889512492,0.56325957702466,0.37977001186233,0.835403905522191,2147.85952195549,1770.5773033868,2605.53465653856
"1995",33539.4106575822,20918.2446478123,53775.6435206232,4044.33260083796,2788.50594447435,5865.7311520575,0.41125811515993,0.263057534005163,0.642951504599669,1678.23979536282,1377.38477936806,2044.8090126505
"1996",15235.059295463,8868.40209019407,26172.3622108789,7385.94757673254,5059.7800637388,10781.5400904859,0.394041019099815,0.252849835703481,0.614073267246672,2985.28272782388,2457.55104926146,3626.3388985233
"1997",5320.97293600726,2799.12233633172,10114.868013531,10239.1580358182,6876.83939334852,15245.4276282597,0.173847057421411,0.109491202765303,0.276029476439918,1580.34159643982,1298.74390790354,1922.99617056101
"1998",9810.45032772249,5409.26631794127,17792.6043895247,12812.6318434447,8733.96490777291,18795.9920252891,0.270983588103216,0.172455518253423,0.425803162258834,2958.1770407685,2431.99540224785,3598.20228132078
"1999",15100.2827832986,8644.98859535014,26375.8057770288,14268.5438766716,9936.58386289518,20489.0681918104,0.189667542371843,0.123778066076722,0.290631270705726,2250.42223018867,1851.9195562121,2734.67613489974
"2000",8045.29170309252,4356.54259303302,14857.3592948134,16278.0901345673,11492.1696062437,23057.1099720923,0.277090473456841,0.182258259333054,0.421265575351687,3728.0615340182,3068.11447888773,4529.96226088169
"2001",9457.79045479827,5194.37495458203,17220.5127794959,16805.0737325072,11894.0126160543,23743.9216075668,0.321545134568231,0.21310386640029,0.485168454758554,4545.8556340759,3745.37976833466,5517.41204471982
"2002",6899.14615364318,3695.66189884747,12879.483825123,18006.2031743687,12706.0637075994,25517.2144747496,0.302106039608981,0.199663964775861,0.457108318322132,4809.06238276889,3957.36091243317,5844.06666794088
"2003",6620.2318388798,3575.33038331022,12258.2992064471,15057.6026504638,10646.2617176158,21296.8085505632,0.490179604672048,0.325037268666365,0.739226138043504,6358.40355829224,5243.13105728045,7710.90696921728
"2004",15254.752432476,8988.10006017224,25890.6187312376,9823.76745846921,6702.41687275924,14398.747334012,0.314699944664266,0.203652890264099,0.486298304154982,2990.363929251,2465.13903524725,3627.49374437153
"2005",6878.43261768388,3749.97847581233,12616.8284914671,9239.52635264436,6213.89753819943,13738.3738139246,0.274145152941506,0.174154183776004,0.431546134877738,2317.16522134403,1908.93374089948,2812.6982869905
"2006",6750.29730432313,3721.6612605299,12243.5951331756,10505.6400828771,6942.43705170151,15897.6556400902,0.121044861641248,0.0755458793156246,0.193946495328151,1126.78872543636,926.54361238184,1370.31092201546
"2007",9154.32726231001,5237.50216242568,16000.3194321662,9106.56769661992,6074.13121759795,13652.9113781504,0.123522061453569,0.0778039327417964,0.196104478630588,1033.44517686811,849.592140015787,1257.084291731
"2008",28947.1828187309,17547.3202947853,47753.1257801254,6641.45261238384,4495.65430265617,9811.45119999089,0.183118076809557,0.116780521794907,0.287138895588436,1197.69578811503,985.18933302873,1456.04012627555
