Year,1,2,3,4,5,6,7,8,9,10+
1978,36.6,49,60.5,67.6,70.6,84.2,85.5,94.2,96.5,112.3
1979,38.5,50.9,57,72.9,76.9,87.9,96.5,99.4,98.7,111.3
1980,38.2,51.1,60.9,69.7,80.5,86.7,92.1,97,96.1,112.4
1981,38.8,51.3,60.3,68.8,77.1,88.1,93.5,97.2,109.5,117.7
1982,39.5,51,61.4,69.8,78.9,86,95.9,98.3,106.8,114.4
1983,39.7,51.7,60.8,67.9,76.8,84.8,93,100.9,103.9,114.4
1984,38.7,52.6,61.7,70.4,78.2,85.3,93.6,98.6,102,109.9
1985,40.6,50.3,57.6,70.7,77.6,84.4,92.1,99.1,104.1,110.5
1986,41,50.9,61.1,68.9,79.7,87.5,94.1,98.2,106,110.1
1987,39.9,51.6,61.4,72.6,81.2,90.4,94.4,98.5,103.8,112.7
1988,36.8,51.7,60.2,67.9,78.7,86.1,94.4,99.4,104.1,112.1
1989,35.2,52.1,58.9,70,78.3,84.5,89.4,98.4,102.4,111.1
1990,36.2,52.7,60.9,68.8,76.7,83.3,91.6,101.8,103.5,110.5
1991,40.6,52.3,61.6,68.4,76,81.6,89.5,96.7,99.1,112.6
1992,41.3,51.3,60.6,71.1,75.2,83.3,87.9,94.8,104.1,116.5
1993,31.5,50.3,59.3,66.7,77.5,82.3,89.3,95.1,99.4,112.8
1994,30,48.5,58.4,68.9,76,87.1,86.1,95,95,115.4
1995,29.8,50.6,57.4,70.1,79.4,83.9,94.9,105.3,106.6,121.3
1996,35.9,51,60.5,67,77,86.2,88.6,97.9,102.7,103
1997,34,51.4,60.3,68.2,72.3,81.6,91.6,91.1,104.8,105.9
1998,37,51.4,59.7,69,75.9,81.5,92,91.2,103.5,110.4
1999,34.1,50.7,59,68.4,76,83.1,87.6,93.5,101.5,111.7
2000,35.7,52.8,61.2,68.8,75.8,80.2,88,93.4,94.1,109.1
2001,35.7,51.1,59.5,65.7,73.5,80.7,83.9,91.8,97.4,104.3
2002,33.7,51,58.7,66.1,72.6,79.5,86,92.2,96.9,104.9
2003,32,52.7,60,65.4,72.3,76.9,82.9,88.3,93.4,99.3
2004,24.8,53,60.7,67,72.3,77.7,81.8,90,95.2,103.4
2005,29.4,43.1,57.7,65.7,73.1,76.7,80.4,92.1,94.8,103.6
2006,29.5,45.5,58.8,66.4,70.2,75.5,85.3,85.5,88.8,94.2
2007,29.8,52,58.5,64.4,69.2,72.7,81.9,87.5,86.9,93.5
2008,36,53.8,61.1,64.9,70.6,79.6,81.2,91.9,92.5,97.7
2009,35.2,50.3,59.1,68.7,72.4,76.4,83.1,85.8,96.9,104.3
2010,31.8,48.3,59.8,65.4,70.8,71.2,77.6,82.1,82.4,105.6
2011,28.3,47.9,60.3,65.7,70.7,76.6,76.9,82.4,105,112.2
