Year,1,2,3,4,5,6,7,8,9,10+
1978,324,840,9002,2806,931,349,288,46,41,32
1979,438,2785,1694,4935,1194,623,201,331,11,57
1980,489,4512,6443,841,2569,1165,462,97,151,43
1981,701,3964,5212,2969,374,1352,433,157,162,77
1982,678,10719,4684,2979,2152,294,752,213,83,92
1983,417,4658,7805,2390,1297,954,182,320,126,134
1984,168,1500,3531,3393,871,620,484,58,199,113
1985,214,7439,2823,1716,2233,532,278,242,37,117
1986,558,1543,4701,897,565,670,98,79,62,29
1987,60,8348,1520,2263,313,269,290,61,39,27
1988,120,2205,9020,1138,1619,223,168,235,61,52
1989,349,2464,3219,4413,416,587,90,58,70,31
1990,37,5479,5744,2070,2338,228,230,24,20,36
1991,151,2160,3685,3265,1471,1079,138,96,28,30
1992,78,4673,2338,1083,1522,478,409,59,45,13
1993,34,1411,4898,1306,519,583,191,156,50,35
1994,43,552,1634,2103,451,101,167,54,40,6
1995,17,563,1407,741,475,58,62,27,11,1
1996,53,320,1014,1315,260,188,20,13,12,0
1997,81,658,778,1123,955,157,119,26,9,4
1998,63,910,1369,535,426,317,48,20,5,2
1999,45,407,2061,867,290,128,146,24,4,1
2000,61,972,789,1237,345,92,47,39,4,1
2001,12,695,2717,748,704,186,55,26,15,2
2002,11,66,1153,1532,372,378,85,18,11,8
2003,3,149,423,827,917,154,142,28,6,3
2004,51,58,424,254,315,254,56,49,11,5
2005,4,264,201,700,198,145,111,23,9,4
2006,9,48,739,208,373,72,31,29,4,3
2007,1,342,281,1235,76,139,17,10,9,1
2008,9,305,719,183,540,22,48,5,3,1
2009,12,143,616,460,106,213,13,14,2,1
2010,9,122,437,598,164,26,76,3,4,1
2011,11,121,493,440,332,90,21,24,3,1
