Year,SSB
1978,83600
1979,93607
1980,96864
1981,90633
1982,85290
1983,75533
1984,64591
1985,55094
1986,49640
1987,59852
1988,68021
1989,64395
1990,63060
1991,47513
1992,38311
1993,30554
1994,20581
1995,19220
1996,21311
1997,20202
1998,20042
1999,21636
2000,22256
2001,25624
2002,20459
2003,14960
2004,11860
2005,10121
2006,10441
2007,10970
2008,11520
2009,14725
2010,17168
2011,22217
