Year,1,2,3,4,5,6,7,8,9,10+
1978,0.01,0.19,0.39,0.4,0.4,0.4,0.4,0.4,0.4,0.4
1979,0.01,0.19,0.39,0.41,0.41,0.41,0.41,0.41,0.41,0.41
1980,0.01,0.24,0.5,0.52,0.52,0.52,0.52,0.52,0.52,0.52
1981,0.01,0.24,0.49,0.51,0.51,0.51,0.51,0.51,0.51,0.51
1982,0.02,0.32,0.67,0.69,0.69,0.69,0.69,0.69,0.69,0.69
1983,0.02,0.31,0.66,0.68,0.68,0.68,0.68,0.68,0.68,0.68
1984,0.01,0.29,0.6,0.62,0.62,0.62,0.62,0.62,0.62,0.62
1985,0.02,0.4,0.84,0.86,0.87,0.87,0.87,0.87,0.87,0.87
1986,0.01,0.27,0.56,0.58,0.58,0.58,0.58,0.58,0.58,0.58
1987,0.01,0.25,0.53,0.55,0.55,0.55,0.55,0.55,0.55,0.55
1988,0.02,0.3,0.62,0.64,0.64,0.64,0.64,0.64,0.64,0.64
1989,0.01,0.25,0.52,0.54,0.54,0.54,0.54,0.54,0.54,0.54
1990,0.02,0.34,0.7,0.73,0.73,0.73,0.73,0.73,0.73,0.73
1991,0.02,0.41,0.87,0.89,0.89,0.89,0.89,0.89,0.89,0.89
1992,0.02,0.39,0.82,0.85,0.85,0.85,0.85,0.85,0.85,0.85
1993,0.02,0.43,0.9,0.93,0.93,0.93,0.93,0.93,0.93,0.93
1994,0.01,0.12,0.56,0.99,1.09,1.1,1.1,1.1,1.1,1.1
1995,0.01,0.07,0.35,0.62,0.68,0.69,0.69,0.69,0.69,0.69
1996,0.01,0.06,0.3,0.54,0.59,0.6,0.6,0.6,0.6,0.6
1997,0.01,0.09,0.44,0.78,0.86,0.87,0.87,0.87,0.87,0.87
1998,0.01,0.08,0.4,0.72,0.79,0.79,0.8,0.8,0.8,0.8
1999,0.01,0.08,0.39,0.69,0.75,0.76,0.76,0.76,0.76,0.76
2000,0.01,0.07,0.32,0.56,0.61,0.62,0.62,0.62,0.62,0.62
2001,0.01,0.09,0.42,0.75,0.83,0.84,0.84,0.84,0.84,0.84
2002,0.01,0.08,0.39,0.68,0.75,0.76,0.76,0.76,0.76,0.76
2003,0.01,0.08,0.4,0.72,0.79,0.8,0.8,0.8,0.8,0.8
2004,0.01,0.06,0.28,0.49,0.54,0.54,0.55,0.55,0.55,0.55
2005,0.01,0.07,0.33,0.58,0.64,0.65,0.65,0.65,0.65,0.65
2006,0.01,0.05,0.26,0.45,0.5,0.5,0.5,0.5,0.5,0.5
2007,0.01,0.07,0.33,0.59,0.65,0.66,0.66,0.66,0.66,0.66
2008,0.01,0.06,0.3,0.53,0.58,0.58,0.58,0.59,0.59,0.59
2009,0.01,0.04,0.22,0.38,0.42,0.42,0.43,0.43,0.43,0.43
2010,0,0.03,0.15,0.26,0.29,0.29,0.29,0.29,0.29,0.29
2011,0,0.02,0.12,0.21,0.23,0.23,0.23,0.23,0.23,0.23
