Year,1,2,3,4,5,6,7,8,9,10+
1978,0.502,1.209,2.352,3.337,3.895,6.265,6.706,8.494,9.673,14.074
1979,0.592,1.365,1.932,4.153,4.82,7.094,9.239,10.207,9.861,14.006
1980,0.575,1.386,2.39,3.486,5.502,6.774,8.234,9.738,9.316,14.045
1981,0.607,1.41,2.303,3.426,4.777,7.088,8.435,9.503,13.815,17.096
1982,0.646,1.374,2.477,3.629,5.151,6.638,9.129,9.914,12.58,15.629
1983,0.672,1.418,2.368,3.325,4.783,6.347,8.244,10.53,11.507,15.576
1984,0.653,1.522,2.464,3.66,5.016,6.451,8.567,9.979,10.974,14.052
1985,0.715,1.331,2.023,3.697,4.882,6.216,8.071,10.07,11.597,13.936
1986,0.704,1.383,2.388,3.474,5.363,6.964,8.599,9.817,12.524,14.269
1987,0.669,1.427,2.436,4.026,5.583,7.594,8.682,9.849,11.449,15.042
1988,0.556,1.41,2.265,3.323,5.145,6.708,8.674,10.051,11.462,14.488
1989,0.493,1.469,2.134,3.619,5.071,6.388,7.611,9.608,10.824,13.526
1990,0.527,1.502,2.384,3.456,4.782,6.156,8.08,10.879,11.245,13.525
1991,0.773,1.488,2.452,3.414,4.681,5.804,7.487,9.486,10.242,14.429
1992,0.788,1.399,2.313,3.753,4.435,6.023,7,8.873,11.305,15.712
1993,0.366,1.338,2.151,3.084,4.882,5.757,7.189,8.604,10.624,14.309
1994,0.323,1.21,2.073,3.413,4.582,6.867,6.557,8.72,8.807,15.728
1995,0.323,1.353,1.95,3.61,5,6.306,8.374,11.745,11.934,18.917
1996,0.514,1.379,2.323,3.145,4.802,6.379,7.737,9.532,11.024,10.844
1997,0.454,1.435,2.283,3.33,3.917,5.529,7.697,7.639,11.374,11.734
1998,0.551,1.408,2.201,3.349,4.43,5.418,7.834,7.629,11.086,13.599
1999,0.451,1.361,2.104,3.253,4.436,5.774,6.643,8.285,10.45,13.985
2000,0.521,1.55,2.356,3.35,4.488,5.321,6.953,8.081,8.404,13.254
2001,0.547,1.391,2.182,2.942,4.121,5.392,6.108,7.874,9.136,11.532
2002,0.462,1.435,2.101,2.952,3.948,5.162,6.495,8.085,9.293,11.5
2003,0.356,1.605,2.246,2.881,3.854,4.68,5.788,7.007,8.365,10.139
2004,0.203,1.619,2.397,3.1,3.851,4.799,5.606,7.396,8.785,11.293
2005,0.266,0.907,2.044,2.947,3.901,4.526,5.321,8.044,8.764,11.381
2006,0.295,1.128,2.179,3.1,3.632,4.519,6.434,6.382,7.383,9.001
2007,0.276,1.524,2.106,2.81,3.519,4.078,5.798,6.946,6.849,8.694
2008,0.537,1.68,2.351,2.831,3.646,5.391,5.696,8.14,8.177,10.268
2009,0.531,1.387,2.143,3.307,3.887,4.633,6.115,6.622,9.366,11.419
2010,0.365,1.214,2.208,2.875,3.654,3.759,4.769,5.889,6.182,12.27
2011,0.273,1.231,2.289,2.941,3.613,4.551,4.778,5.73,11.302,14.11
