Year,F5_8
1978,0.4
1979,0.41
1980,0.52
1981,0.51
1982,0.69
1983,0.68
1984,0.62
1985,0.87
1986,0.58
1987,0.55
1988,0.64
1989,0.54
1990,0.73
1991,0.89
1992,0.85
1993,0.93
1994,1.1
1995,0.68
1996,0.6
1997,0.87
1998,0.79
1999,0.76
2000,0.62
2001,0.83
2002,0.76
2003,0.8
2004,0.54
2005,0.65
2006,0.5
2007,0.65
2008,0.58
2009,0.42
2010,0.29
2011,0.23
