Year,1,2,3,4,5,6,7,8,9,10+
1978,29399,5140,29224,7538,3475,1061,1744,158,313,239
1979,27836,23844,3495,16212,4131,1904,581,955,87,302
1980,22073,22573,16172,1929,8836,2251,1037,317,520,212
1981,44386,17853,14538,8008,940,4304,1096,505,154,357
1982,20472,35906,11541,7256,3935,462,2114,538,248,251
1983,10357,16492,21379,4848,2984,1617,190,869,221,205
1984,29539,8346,9878,9092,2019,1242,673,79,362,178
1985,9211,23835,5133,4441,4011,890,548,297,35,238
1986,47147,7389,13081,1817,1531,1382,307,189,102,94
1987,16436,38080,4631,6118,835,703,635,141,87,90
1988,26484,13285,24218,2234,2902,396,333,301,67,84
1989,18656,21359,8088,10658,964,1251,171,144,130,65
1990,11028,15081,13612,3918,5077,459,596,81,68,93
1991,24732,8876,8826,5515,1552,2011,182,236,32,64
1992,8319,19829,4809,3042,1850,520,674,61,79,32
1993,9970,6677,10961,1729,1065,647,182,236,21,39
1994,7082,7986,3549,3631,557,343,208,59,76,19
1995,3913,5714,5821,1662,1102,153,93,57,16,26
1996,7142,3174,4352,3367,734,458,63,38,23,17
1997,10299,5801,2440,2631,1609,333,206,28,17,18
1998,4766,8335,4333,1285,984,557,114,71,10,12
1999,11895,3861,6276,2372,515,367,206,42,26,8
2000,6106,9641,2917,3492,978,198,140,79,16,13
2001,2605,4958,7392,1743,1633,433,87,62,35,13
2002,3962,2109,3717,3963,672,585,154,31,22,17
2003,1256,3211,1594,2070,1636,260,224,59,12,15
2004,6959,1018,2417,871,826,609,96,83,22,10
2005,1526,5657,787,1501,437,395,289,45,39,15
2006,3985,1238,4326,464,686,188,169,124,19,23
2007,5848,3241,961,2744,241,341,93,84,61,21
2008,5327,4746,2476,565,1245,103,145,40,36,35
2009,8079,4327,3654,1508,273,572,47,66,18,32
2010,8136,6577,3388,2412,842,147,306,25,35,27
2011,7334,6635,5221,2391,1517,516,90,187,15,38
