Biomass,gb,,,,,,,,
1978,29399000,,,,,,,,
1979,27836000,,,,,,,,
1980,22073000,,,,,,,,
1981,44386000,,,,,,,,
1982,20472000,,,,,,,,
1983,10357000,,,,,,,,
1984,29539000,,,,,,,,
1985,9211000,,,,,,,,
1986,47147000,,,,,,,,
1987,16436000,,,,,,,,
1988,26484000,,,,,,,,
1989,18656000,,,,,,,,
1990,11028000,,,,,,,,
1991,24732000,,,,,,,,
1992,8319000,,,,,,,,
1993,9970000,,,,,,,,
1994,7082000,,,,,,,,
1995,3913000,,,,,,,,
1996,7142000,,,,,,,,
1997,10299000,,,,,,,,
1998,4766000,,,,,,,,
1999,11895000,,,,,,,,
2000,6106000,,,,,,,,
2001,2605000,,,,,,,,
2002,3962000,,,,,,,,
2003,1256000,,,,,,,,
2004,6959000,,,,,,,,
2005,1526000,,,,,,,,
2006,3985000,,,,,,,,
2007,5848000,,,,,,,,
2008,5327000,,,,,,,,
2009,8079000,,,,,,,,
2010,8136000,,,,,,,,
2011,7334000,,,,,,,,
