"","R","Low","High","SSB","Low","High","Catch","Low","High","Fbar","Low","High"
"1982",11939.5576370842,9064.73849895798,15711.7285728885,88679.2407617986,47554.1702045125,219456.181138016,16708.3956932626,12461.1309030478,21899.8416429714,0.0945354839886657,0.0472047953228976,0.250578063162385
"1983",12316.5864589968,9459.14236810091,15991.3688277456,77792.8939219453,41533.1667268125,187056.055611834,16673.5221298118,13785.9247922607,20015.4338319321,0.122594029904582,0.0706614696083292,0.217365148717213
"1984",11073.078798456,8401.49055730426,14260.2482824656,77572.2219845996,40468.5585938018,183614.48458082,17225.4191588051,14238.561705609,21270.4320620508,0.150489298301363,0.0883710272676568,0.247620094995899
"1985",9450.61075664848,7430.27943837995,12275.6214671699,73561.601992813,39248.941610989,162673.572088483,14587.662913882,12073.3733774345,17386.1400535123,0.158472878906926,0.0862468698105209,0.259149887691923
"1986",12061.5201263869,9373.71291797041,15396.106523105,72561.1186680286,38660.5733322867,154595.483241589,11922.4383948767,9923.14330610065,14770.9625805376,0.150195160453371,0.0843919892380965,0.248271760188527
"1987",14679.8000844625,11202.6752697405,18686.2247244422,67980.8093322539,37213.6034790968,139714.831109128,10040.2802755209,8455.01672983999,12386.9466608605,0.149626723055958,0.0927969245239655,0.260293241114276
"1988",28394.1115282613,21891.932171133,36949.1780742729,58981.916258575,32954.4200493353,115566.365122609,9371.83178153184,7889.23018507701,11357.3814118999,0.1630057390841,0.0943551708401873,0.284108631953215
"1989",4737.80629055318,3637.82984865859,6297.2654754232,79942.4878694626,44421.7652594599,155727.206344811,13383.9644012978,11108.8011456913,16307.8958226232,0.190153663072523,0.115611938323903,0.312375224946182
"1990",5176.10172862911,4043.55181021097,6846.1894967246,74372.39259224,43576.3435002936,134734.959994832,16508.2880006015,13669.2272252833,20349.3194178533,0.215190095002904,0.129785229488895,0.352663194495286
"1991",7628.89210408145,5755.16029744581,9936.76266579912,58244.8793069344,34893.3713106195,101670.777241272,18902.2280580677,15372.3881885972,23144.2063400496,0.229623249092443,0.141773885495108,0.377793893030965
"1992",9970.04288082161,7555.27225996894,13362.4948002913,50180.4655673955,28610.178752308,89762.8330048466,11259.09177593,9440.29045253026,13477.9845638436,0.234093107209222,0.135654959592546,0.40726768842014
"1993",14130.038672518,10350.8192876833,19274.5051623356,19757.6505907517,11613.8571534117,33123.4366526691,8603.20117182358,7236.20826417654,10326.445745343,0.217354234065067,0.118454187493746,0.392830738705325
"1994",5323.83799766043,3920.36921472369,7469.63118223023,39726.0434273281,22626.8704030122,71599.9975231198,8209.45482660883,6780.36771656121,10332.0842537254,0.178134373169202,0.0944450935661268,0.332063651993692
"1995",6556.50463332977,4892.25225044894,9216.53503971412,59829.070857133,33597.8518562719,109444.682132451,7970.86714171469,6552.98855503599,9784.25284869349,0.127216624595043,0.0656682893253948,0.258924773449787
