case,devs,srm,traj,model,a,b,sigmaR,h,ssb0,r0
1,rwdev,bhm,rcc,bevholt,487.5275957,155.5555556,0.833,0.650000489,1000.002487,421.8990221
2,lndev03,bhm,rcc,bevholt,487.5275957,155.5555556,0.3,0.650000489,1000.002487,421.8990221
3,lndev06,bhm,rcc,bevholt,487.5275957,155.5555556,0.6,0.650000489,1000.002487,421.8990221
4,rwdev,rim,rcc,ricker,1.77027,0.00155,0.833,0.629934874,925.2411882,390.3573818
5,lndev03,rim,rcc,ricker,1.77027,0.00155,0.3,0.629934874,925.2411882,390.3573818
6,lndev06,rim,rcc,ricker,1.77027,0.00155,0.6,0.629934874,925.2411882,390.3573818
7,rwdev,gmm,rcc,mean,400,NA,0.833,1,948.09652,400
8,lndev03,gmm,rcc,mean,400,NA,0.3,1,948.09652,400
9,lndev06,gmm,rcc,mean,400,NA,0.6,1,948.09652,400
10,rwdev,hsm,rcc,segreg,0.9,450,0.833,na,1066.608585,450
11,lndev03,hsm,rcc,segreg,0.9,450,0.3,na,1066.608585,450
12,lndev06,hsm,rcc,segreg,0.9,450,0.6,na,1066.608585,450
13,rwdev,bhm,lfc,bevholt,487.5275957,155.5555556,0.833,0.650000489,1000.002487,421.8990221
14,lndev03,bhm,lfc,bevholt,487.5275957,155.5555556,0.3,0.650000489,1000.002487,421.8990221
15,lndev06,bhm,lfc,bevholt,487.5275957,155.5555556,0.6,0.650000489,1000.002487,421.8990221
16,rwdev,rim,lfc,ricker,1.77027,0.00155,0.833,0.629934874,925.2411882,390.3573818
17,lndev03,rim,lfc,ricker,1.77027,0.00155,0.3,0.629934874,925.2411882,390.3573818
18,lndev06,rim,lfc,ricker,1.77027,0.00155,0.6,0.629934874,925.2411882,390.3573818
19,rwdev,gmm,lfc,mean,400,NA,0.833,1,948.09652,400
20,lndev03,gmm,lfc,mean,400,NA,0.3,1,948.09652,400
21,lndev06,gmm,lfc,mean,400,NA,0.6,1,948.09652,400
22,rwdev,hsm,lfc,segreg,0.9,450,0.833,na,1066.608585,450
23,lndev03,hsm,lfc,segreg,0.9,450,0.3,na,1066.608585,450
24,lndev06,hsm,lfc,segreg,0.9,450,0.6,na,1066.608585,450
25,rwdev,bhm,hfc,bevholt,487.5275957,155.5555556,0.833,0.650000489,1000.002487,421.8990221
26,lndev03,bhm,hfc,bevholt,487.5275957,155.5555556,0.3,0.650000489,1000.002487,421.8990221
27,lndev06,bhm,hfc,bevholt,487.5275957,155.5555556,0.6,0.650000489,1000.002487,421.8990221
28,rwdev,rim,hfc,ricker,1.77027,0.00155,0.833,0.629934874,925.2411882,390.3573818
29,lndev03,rim,hfc,ricker,1.77027,0.00155,0.3,0.629934874,925.2411882,390.3573818
30,lndev06,rim,hfc,ricker,1.77027,0.00155,0.6,0.629934874,925.2411882,390.3573818
31,rwdev,gmm,hfc,mean,400,NA,0.833,1,948.09652,400
32,lndev03,gmm,hfc,mean,400,NA,0.3,1,948.09652,400
33,lndev06,gmm,hfc,mean,400,NA,0.6,1,948.09652,400
34,rwdev,hsm,hfc,segreg,0.9,450,0.833,na,1066.608585,450
35,lndev03,hsm,hfc,segreg,0.9,450,0.3,na,1066.608585,450
36,lndev06,hsm,hfc,segreg,0.9,450,0.6,na,1066.608585,450
