Year,1,2,3,4,5,6,7,8,9
1982,0.038,0.24,0.595,0.712,0.728,0.73,0.73,0.73,0.73
1983,0.045,0.286,0.711,0.851,0.87,0.872,0.873,0.873,0.873
1984,0.04,0.256,0.637,0.762,0.78,0.782,0.782,0.782,0.782
1985,0.047,0.3,0.746,0.893,0.913,0.916,0.916,0.916,0.916
1986,0.043,0.274,0.681,0.816,0.834,0.836,0.837,0.837,0.837
1987,0.042,0.27,0.671,0.804,0.822,0.824,0.824,0.824,0.824
1988,0.032,0.205,0.509,0.61,0.623,0.625,0.625,0.625,0.625
1989,0.013,0.077,0.33,0.717,0.886,0.922,0.928,0.929,0.929
1990,0.016,0.094,0.407,0.883,1.091,1.134,1.142,1.143,1.143
1991,0.018,0.104,0.451,0.979,1.209,1.258,1.266,1.267,1.267
1992,0.02,0.113,0.486,1.056,1.304,1.356,1.365,1.366,1.366
1993,0.022,0.128,0.552,1.199,1.481,1.54,1.55,1.551,1.552
1994,0.021,0.12,0.518,1.125,1.389,1.445,1.454,1.456,1.456
1995,0.014,0.082,0.354,0.768,0.949,0.986,0.993,0.994,0.994
1996,0.015,0.085,0.366,0.795,0.982,1.021,1.028,1.029,1.029
1997,0.013,0.076,0.328,0.713,0.881,0.916,0.922,0.923,0.923
1998,0.012,0.068,0.292,0.633,0.782,0.813,0.819,0.819,0.82
1999,0.007,0.039,0.17,0.369,0.455,0.474,0.477,0.477,0.477
2000,0.009,0.05,0.217,0.472,0.583,0.606,0.61,0.611,0.611
2001,0.01,0.058,0.25,0.544,0.672,0.699,0.703,0.704,0.704
2002,0.008,0.045,0.194,0.422,0.521,0.542,0.545,0.546,0.546
2003,0.009,0.053,0.228,0.495,0.611,0.636,0.64,0.64,0.64
2004,0.01,0.054,0.235,0.51,0.63,0.655,0.659,0.66,0.66
2005,0.008,0.042,0.194,0.521,0.736,0.793,0.804,0.806,0.806
2006,0.006,0.035,0.163,0.438,0.62,0.668,0.677,0.678,0.679
2007,0.006,0.035,0.163,0.44,0.621,0.669,0.678,0.68,0.68
2008,0.008,0.046,0.211,0.568,0.804,0.866,0.877,0.879,0.88
2009,0.009,0.052,0.24,0.646,0.913,0.984,0.997,0.999,1
2010,0.01,0.054,0.251,0.675,0.954,1.028,1.042,1.044,1.045
2011,0.014,0.08,0.37,0.996,1.408,1.517,1.537,1.541,1.542
2012,0.017,0.096,0.443,1.192,1.685,1.815,1.839,1.843,1.844
2013,0.016,0.087,0.402,1.081,1.528,1.646,1.668,1.672,1.673
2014,0.015,0.085,0.393,1.056,1.493,1.608,1.63,1.634,1.634
2015,0.002,0.011,0.05,0.136,0.192,0.206,0.209,0.21,0.21
2016,0.002,0.012,0.055,0.147,0.208,0.224,0.227,0.228,0.228
