Year,0,1,2,3,4,5,6,7,8,9+
1982,1.346,446.043,2919.274,2286.666,1430.543,748.755,65.88,94.051,72.553,90.055
1983,13.645,587.482,2446.377,2912.764,1201.593,704.01,452.68,50.022,62.542,56.198
1984,18.275,366.271,2112.728,1674.503,1643.588,437.453,219.625,105.649,9.495,53.395
1985,67.101,500.252,1931.671,2400.561,1151.815,738.096,161.362,107.192,48.359,33.213
1986,17.767,756.738,1737.809,2747.565,991.644,279.282,202.725,48.016,38.188,47.527
1987,100.702,275.681,1968.38,1560.109,1574.499,345.353,89.415,81.032,14.459,37.549
1988,3.446,411.737,1528.771,2083.993,1156.925,447.729,67.43,25.56,26.247,9.267
1989,0.043,163.697,1209.721,2361.735,1650.543,521.108,87.147,70.289,9.369,19.564
1990,0,64.89,801.437,5510.231,2713.258,541.353,189.069,29.703,36.417,43.315
1991,3.251,120.451,489.288,930.873,5539.862,1036.05,150.67,55.54,25.983,15.805
1992,23.803,368.579,817.817,858.466,500.861,2187.314,226.068,80.181,6.044,5.53
1993,26.57,104.034,463.39,2124.314,935.049,103.328,497.117,41.561,11.264,0
1994,11.734,121.833,168.991,1482.123,1291.238,266.291,66.224,74.158,28.714,7.87
1995,11.572,77.008,298.132,1276.197,1252.189,221.363,29.931,6.521,18.184,2.808
1996,22.067,34.627,100.86,612.077,1983.816,404.06,36.651,4.039,0.491,1.623
1997,1.472,67.669,126.915,506.856,464.68,863.272,72.142,5.523,2.272,1.029
1998,0.917,4.253,152.182,479.05,620.164,152.675,205.174,28.696,5.168,2.257
1999,0.063,66.56,67.227,329.251,333.593,171.186,53.542,59.427,12.388,1.067
2000,0,17.868,416.434,533.774,808.15,176.067,85.101,12.485,10.521,0
2001,0,0.584,323.199,1101.663,671.291,382.956,106.388,57.232,8.262,11.577
2002,0,13.605,34.983,319.653,865.554,312.806,163.354,66.392,27.89,20.263
2003,22.873,37.563,99.331,150.548,530.837,685.411,183.142,75.694,29.224,26.844
2004,0.187,132.768,92.498,550.931,250.443,388.213,248.046,70.344,35.653,32.898
2005,1.487,23.905,139.279,137.597,859.749,87.274,241.753,109.161,28.661,31.016
2006,0.273,16.532,46.595,366.653,275.095,442.345,29.527,80.64,40.242,29.208
2007,0.418,11.658,85.955,248.049,907.725,130.91,222.926,8.326,20.889,32.15
2008,0.356,10.639,102.178,533.002,679.906,787.577,67.331,100.808,3.341,18.925
2009,0.089,9.249,81.844,593.074,1055.393,467.995,277.52,22.01,29.956,10.582
2010,0.213,6.704,53.493,338.761,842.521,634.539,160.243,82.526,13.172,8.454
2011,0.485,6.982,37.058,234.105,551.477,585.383,354.461,36.309,39.882,9.589
2012,0.105,13.085,83.098,288.728,431.245,243.374,125,58.831,7.58,3.54
2013,0.554,6.25,165.995,296.762,189.147,122.917,22.872,12.593,6.931,0.918
2014,0.024,15.303,49.299,241.396,254.941,71.911,28.307,8.816,1.852,0.932
2015,0,5.485,47.907,28.686,55.671,14.394,1.777,1.799,0.296,0.22
2016,0.086,2.453,28.251,119.179,52.159,62.539,5.146,1.674,0.673,0.253
