Year,1,2,3,4,5,6,7,8,9+
1982,0.09,0.32,0.7,0.92,0.98,1,1,1,1
1983,0.09,0.32,0.7,0.92,0.98,1,1,1,1
1984,0.09,0.32,0.7,0.92,0.98,1,1,1,1
1985,0.09,0.32,0.7,0.92,0.98,1,1,1,1
1986,0.09,0.32,0.7,0.92,0.98,1,1,1,1
1987,0.09,0.32,0.7,0.92,0.98,1,1,1,1
1988,0.09,0.32,0.7,0.92,0.98,1,1,1,1
1989,0.09,0.32,0.7,0.92,0.98,1,1,1,1
1990,0.09,0.32,0.7,0.92,0.98,1,1,1,1
1991,0.09,0.32,0.7,0.92,0.98,1,1,1,1
1992,0.09,0.32,0.7,0.92,0.98,1,1,1,1
1993,0.09,0.32,0.7,0.92,0.98,1,1,1,1
1994,0.09,0.32,0.7,0.92,0.98,1,1,1,1
1995,0.09,0.32,0.7,0.92,0.98,1,1,1,1
1996,0.09,0.32,0.7,0.92,0.98,1,1,1,1
1997,0.09,0.32,0.7,0.92,0.98,1,1,1,1
1998,0.09,0.32,0.7,0.92,0.98,1,1,1,1
1999,0.09,0.32,0.7,0.92,0.98,1,1,1,1
2000,0.09,0.32,0.7,0.92,0.98,1,1,1,1
2001,0.09,0.32,0.7,0.92,0.98,1,1,1,1
2002,0.09,0.32,0.7,0.92,0.98,1,1,1,1
2003,0.09,0.32,0.7,0.92,0.98,1,1,1,1
2004,0.09,0.32,0.7,0.92,0.98,1,1,1,1
2005,0.09,0.32,0.7,0.92,0.98,1,1,1,1
2006,0.09,0.32,0.7,0.92,0.98,1,1,1,1
2007,0.09,0.32,0.7,0.92,0.98,1,1,1,1
2008,0.09,0.32,0.7,0.92,0.98,1,1,1,1
2009,0.09,0.32,0.7,0.92,0.98,1,1,1,1
2010,0.09,0.32,0.7,0.92,0.98,1,1,1,1
2011,0.09,0.32,0.7,0.92,0.98,1,1,1,1
2012,0.09,0.32,0.7,0.92,0.98,1,1,1,1
2013,0.09,0.32,0.7,0.92,0.98,1,1,1,1
2014,0.09,0.32,0.7,0.92,0.98,1,1,1,1
2015,0.09,0.32,0.7,0.92,0.98,1,1,1,1
2016,0.09,0.32,0.7,0.92,0.98,1,1,1,1
