Cohort,0,1,2,3,4,5,6,7,8,9+
1982,0.002,0.05,0.372,0.91,1.917,3.574,4.927,6.945,10.44,14.06
1983,0.008,0.075,0.403,1.077,2.273,4.01,5.578,8.043,11.518,14.483
1984,0,0.014,0.316,0.777,1.709,3.172,5.75,8.972,10.453,15.708
1985,0.015,0.104,0.406,0.98,2.179,3.627,5.654,8.832,12.219,11.846
1986,0.001,0.028,0.293,0.887,1.742,2.846,4.629,7.388,11.095,22.443
1987,0.001,0.022,0.292,0.937,1.689,2.564,4.083,6.601,10.045,16.357
1988,0,0.027,0.431,1.083,2.026,3.449,5.294,8.526,12.844,16.938
1989,0.022,0.095,0.45,1.215,1.702,2.571,4.722,8.967,11.94,16.676
1990,0.006,0.071,0.476,1.254,2.244,3.934,6.185,8.245,10.442,12.279
1991,0.007,0.028,0.191,1.003,2.021,2.971,3.973,5.739,8.351,12.661
1992,0.012,0.046,0.236,0.946,1.784,2.571,3.558,5.301,7.882,9.538
1993,0.012,0.038,0.275,1.462,2.407,3.423,4.752,5.508,6.912,12.152
1994,0.01,0.051,0.356,1.466,2.245,3.139,4.773,6.513,7.924,12.023
1995,0.012,0.06,0.391,1.445,2.237,3.422,5.091,6.514,8.011,13.758
1996,0.022,0.049,0.256,1.196,2.257,3.851,5.296,6.837,8.655,12.474
1997,0.005,0.059,0.343,1.063,2.42,3.247,4.118,5.971,7.681,12.361
1998,0.002,0.044,0.461,1.305,2.249,2.977,4.264,5.869,6.816,13.295
1999,0.022,0.12,0.456,1.05,1.742,2.634,3.871,4.959,6.578,12.711
2000,0.009,0.097,0.465,1.053,2.074,3.279,4.089,5.18,6.33,13.813
2001,0.023,0.089,0.346,0.95,1.613,2.468,3.767,5.277,7.048,11.892
2002,0.012,0.089,0.357,0.832,1.885,3.008,3.92,5.186,7.331,12.957
2003,0.022,0.066,0.243,0.795,1.754,2.869,3.679,4.7,5.531,9.895
2004,0.01,0.061,0.3,0.909,1.867,2.896,3.762,4.765,5.329,11.143
2005,0.008,0.09,0.447,1.093,2.262,3.251,4.095,4.848,5.984,8.56
2006,0.047,0.128,0.405,1.212,2.34,3.206,3.796,4.565,5.79,13.956
2007,0.009,0.085,0.477,1.143,1.92,2.657,3.144,3.506,5.449,10.168
2008,0.049,0.173,0.553,1.257,2.048,2.735,3.235,4.212,5.693,0
2009,0.013,0.099,0.46,1.114,1.854,2.247,2.957,4.114,0,0
2010,0.006,0.086,0.485,1.085,1.657,2.561,4.057,0,0,0
2011,0.043,0.156,0.466,1.037,1.799,2.458,0,0,0,0
2012,0,0.02,0.617,1.172,1.79,0,0,0,0,0
2013,0.018,0.137,0.478,0.877,0,0,0,0,0,0
2014,0.022,0.105,0.364,0,0,0,0,0,0,0
2015,0.017,0.075,0,0,0,0,0,0,0,0
2016,0.001,0,0,0,0,0,0,0,0,0
