Year,1,2,3,4,5,6,7,8,9+
1982,10552,12016,5069,2928,1739,158,215,146,245
1983,11408,8320,7742,2290,1176,688,62,85,154
1984,11479,8930,5117,3114,800,403,235,21,82
1985,8887,9027,5658,2216,1190,301,151,88,39
1986,14029,6941,5473,2197,743,391,98,50,42
1987,14869,11002,4319,2267,795,264,139,35,32
1988,27800,11669,6874,1807,831,286,95,50,24
1989,4213,22041,7783,3383,804,365,125,42,32
1990,4182,3404,16715,4579,1352,271,119,41,24
1991,7420,3368,2536,9112,1550,372,71,31,17
1992,7304,5965,2484,1323,2803,379,87,17,11
1993,9442,5863,4363,1250,377,623,80,18,6
1994,3187,7560,4224,2057,309,70,109,14,4
1995,3390,2555,5489,2060,547,63,14,21,3
1996,2718,2736,1927,3155,783,173,19,4,7
1997,4421,2193,2058,1094,1167,240,51,6,3
1998,3848,3572,1664,1213,439,396,79,17,3
1999,7587,3113,2733,1018,527,164,144,28,7
2000,4390,6169,2451,1888,576,274,84,73,18
2001,1128,3563,4803,1614,964,263,122,37,40
2002,4935,914,2752,3061,767,403,107,50,31
2003,1794,4009,715,1856,1644,373,192,51,38
2004,5868,1455,3113,466,926,730,162,83,39
2005,3539,4759,1128,2015,229,404,311,69,51
2006,5893,2876,3737,761,980,90,150,114,44
2007,4397,4794,2273,2599,402,432,38,62,65
2008,3082,3577,3789,1581,1371,177,181,16,53
2009,2025,2502,2798,2511,733,503,61,62,23
2010,1188,1643,1945,1802,1078,241,154,18,26
2011,1233,963,1274,1239,751,340,71,44,13
2012,1526,995,728,720,375,150,61,12,10
2013,842,1228,740,383,179,57,20,8,3
2014,3129,678,922,405,106,32,9,3,2
2015,1215,2523,510,510,115,20,5,1,1
2016,457,993,2043,397,364,78,13,3,1
