Year,SSB
1968,15691.18
1969,15242.27
1970,11707.45
1971,12866.84
1972,16340.44
1973,20615.62
1974,17311.28
1975,17776.95
1976,13812.04
1977,13267.95
1978,9780.457
1979,10647.01
1980,12503.23
1981,17616.41
1982,20117.97
1983,16537.1
1984,11647.1
1985,11915.26
1986,12219.6
1987,13039.56
1988,12465.5
1989,14053.13
1990,9878.955
1991,7128.088
1992,6047.362
1993,5729.53
1994,4908.016
1995,3515.417
1996,4417.016
1997,5222.717
1998,5766.259
1999,5256.15
2000,1592.532
2001,2765.786
2002,3243.844
2003,2456.97
2004,2239.831
2005,2157.03
2006,1855.022
2007,1756.104
2008,1621.178
2009,1046.168
2010,1288.842
2011,1534.72
2012,1945.987
2013,2058.758
2014,3101.298
2015,4146.315
2016,4891.5
2017,6938.838
2018,8109.616
