Year,0,1,2,3,4,5,6+
1968,0.001142,0.151591,0.593174,0.603104,0.603161,0.603162,0.603162
1969,0.001515,0.201077,0.78681,0.799982,0.800057,0.800058,0.800058
1970,0.001134,0.150458,0.588739,0.598595,0.598652,0.598652,0.598652
1971,0.001247,0.165457,0.647432,0.65827,0.658332,0.658333,0.658333
1972,0.001096,0.145389,0.568907,0.578431,0.578486,0.578486,0.578486
1973,0.001419,0.188349,0.737008,0.749346,0.749417,0.749417,0.749417
1974,0.001272,0.168819,0.660585,0.671644,0.671707,0.671708,0.671708
1975,0.001417,0.188073,0.735926,0.748246,0.748317,0.748317,0.748317
1976,0.001438,0.190782,0.746529,0.759026,0.759098,0.759098,0.759098
1977,0.001477,0.196069,0.767216,0.78006,0.780133,0.780134,0.780134
1978,0.001068,0.141791,0.554826,0.564114,0.564167,0.564167,0.564167
1979,0.001244,0.165116,0.646099,0.656914,0.656977,0.656977,0.656977
1980,0.001282,0.17013,0.665715,0.676859,0.676923,0.676924,0.676924
1981,0.001432,0.190074,0.743758,0.756209,0.75628,0.756281,0.756281
1982,0.001601,0.21252,0.831588,0.845509,0.845589,0.845589,0.845589
1983,0.001471,0.195244,0.763987,0.776776,0.77685,0.77685,0.77685
1984,0.001413,0.187544,0.733859,0.746144,0.746215,0.746215,0.746215
1985,0.001548,0.205384,0.803664,0.817117,0.817195,0.817195,0.817195
1986,0.001545,0.20499,0.802122,0.81555,0.815627,0.815628,0.815628
1987,0.00179,0.237541,0.929494,0.945054,0.945143,0.945144,0.945144
1988,0.001855,0.246142,0.96315,0.979273,0.979366,0.979367,0.979367
1989,0.002084,0.276587,1.082283,1.1004,1.100505,1.100505,1.100505
1990,0.001687,0.223875,0.876021,0.890685,0.89077,0.89077,0.89077
1991,0.002108,0.279763,1.094709,1.113035,1.11314,1.113141,1.113141
1992,0.002229,0.295801,1.157466,1.176843,1.176954,1.176955,1.176955
1993,0.00241,0.319887,1.251714,1.272668,1.272789,1.27279,1.27279
1994,0.002532,0.335982,1.314692,1.336701,1.336827,1.336828,1.336828
1995,0.001801,0.239012,0.935252,0.950909,0.950999,0.950999,0.950999
1996,0.001927,0.255794,1.000919,1.017675,1.017771,1.017771,1.017771
1997,0.002021,0.268156,1.049292,1.066858,1.066959,1.066959,1.066959
1998,0.001824,0.242088,0.947286,0.963144,0.963235,0.963235,0.963235
1999,0.003346,0.443999,1.737365,1.766449,1.766616,1.766617,1.766617
2000,0.028367,0.33664,1.332182,1.847349,0.885099,0.104613,0.008879
2001,0.020479,0.243031,0.961744,1.333659,0.63898,0.075524,0.00641
2002,0.027171,0.322451,1.276032,1.769484,0.847793,0.100204,0.008505
2003,0.020269,0.240544,0.951904,1.320013,0.632443,0.074751,0.006345
2004,0.018022,0.213872,0.846352,1.173644,0.562315,0.066462,0.005641
2005,0.018941,0.224783,0.889533,1.233523,0.591004,0.069853,0.005929
2006,0.021892,0.259802,1.028111,1.42569,0.683075,0.080735,0.006852
2007,0.02126,0.252297,0.998414,1.384509,0.663344,0.078403,0.006655
2008,0.022489,0.266886,1.056146,1.464567,0.701701,0.082937,0.007039
2009,0.021525,0.25545,1.010888,1.401808,0.671632,0.079383,0.006738
2010,0.021952,0.26051,1.030913,1.429576,0.684936,0.080955,0.006871
2011,0.007712,0.091517,0.36216,0.502211,0.240619,0.02844,0.002414
2012,0.014078,0.167069,0.661142,0.916811,0.439261,0.051918,0.004407
2013,0.004856,0.057629,0.228055,0.316246,0.151519,0.017909,0.00152
2014,0.003494,0.041464,0.164084,0.227537,0.109017,0.012885,0.001094
2015,0.002151,0.025532,0.101038,0.14011,0.067129,0.007934,0.000673
2016,0.000912,0.010827,0.042845,0.059414,0.028466,0.003365,0.000286
2017,0.000821,0.009744,0.038558,0.053469,0.025618,0.003028,0.000257
