Year,	R(age 1),	Low,	High,	SSB,	Low,	High,	Fbar(4-5),	Low,	High,	Catch,	Low,	High
1985,	8633,	5645,	13205,	503,	357,	710,	1.411,	0.9,	2.212,	1210,	686,	2133
1986,	6951,	4598,	10507,	497,	368,	672,	0.933,	0.622,	1.401,	1331,	784,	2259
1987,	7614,	5239,	11067,	630,	439,	905,	1.113,	0.783,	1.582,	1326,	860,	2044
1988,	10140,	6737,	15262,	496,	361,	682,	1.382,	0.948,	2.015,	1310,	859,	1997
1989,	8945,	6260,	12781,	712,	525,	966,	1.144,	0.798,	1.639,	1696,	1097,	2624
1990,	8151,	5700,	11657,	1227,	840,	1792,	1.131,	0.796,	1.608,	1983,	1282,	3068
1991,	7869,	5500,	11259,	1109,	801,	1536,	1.378,	0.97,	1.957,	1897,	1263,	2851
1992,	8186,	5673,	11812,	916,	665,	1260,	1.26,	0.893,	1.777,	1311,	892,	1927
1993,	8031,	5555,	11610,	862,	626,	1188,	1.174,	0.824,	1.674,	1096,	734,	1638
1994,	6694,	4685,	9563,	979,	705,	1360,	1.37,	0.983,	1.91,	1253,	856,	1833
1995,	6375,	4446,	9139,	1071,	772,	1488,	1.743,	1.263,	2.407,	1547,	1047,	2286
1996,	5338,	3720,	7661,	1026,	738,	1428,	1.761,	1.282,	2.418,	1475,	1003,	2167
1997,	4823,	3321,	7005,	865,	633,	1183,	1.826,	1.317,	2.531,	1333,	893,	1991
1998,	5663,	3886,	8253,	898,	653,	1235,	1.401,	1.003,	1.957,	1140,	753,	1725
1999,	5699,	3761,	8634,	1077,	789,	1471,	1.121,	0.75,	1.677,	1143,	754,	1732
2000,	4621,	3160,	6759,	1405,	1008,	1958,	1.468,	1.055,	2.043,	1668,	1107,	2512
2001,	3781,	2554,	5597,	1572,	1117,	2211,	1.71,	1.254,	2.333,	1984,	1296,	3038
2002,	4087,	2847,	5867,	1475,	1059,	2055,	1.621,	1.197,	2.196,	1896,	1258,	2857
2003,	3557,	2437,	5192,	1045,	766,	1426,	1.8,	1.33,	2.436,	1420,	961,	2099
2004,	3996,	2812,	5678,	837,	600,	1166,	1.808,	1.347,	2.427,	1000,	667,	1501
2005,	4351,	3052,	6202,	795,	574,	1101,	1.755,	1.295,	2.379,	895,	607,	1318
2006,	4794,	3272,	7022,	910,	656,	1264,	1.698,	1.24,	2.325,	862,	583,	1275
2007,	4020,	2773,	5827,	1103,	794,	1534,	1.709,	1.255,	2.325,	966,	652,	1432
2008,	4348,	3002,	6298,	1241,	880,	1751,	1.885,	1.411,	2.518,	1141,	762,	1709
2009,	4676,	3225,	6779,	1232,	888,	1708,	1.873,	1.393,	2.517,	1116,	746,	1668
2010,	3992,	2732,	5832,	1537,	1098,	2151,	1.62,	1.187,	2.211,	1179,	780,	1783
2011,	4066,	2735,	6047,	1646,	1171,	2315,	1.567,	1.142,	2.151,	1371,	901,	2087
2012,	4605,	3086,	6871,	1198,	864,	1660,	1.836,	1.379,	2.444,	1250,	828,	1888
2013,	5479,	3677,	8165,	948,	686,	1310,	1.812,	1.338,	2.455,	966,	646,	1443
2014,	6574,	4191,	10312,	932,	671,	1294,	1.373,	0.941,	2.004,	689,	449,	1058
2015,	7182,	4292,	12018,	1287,	862,	1919,	1.014,	0.505,	2.038,	645,	371,	1123
2016,	7823,	4197,	14582,	1751,	995,	3080,	0.811,	0.273,	2.413,	728,	386,	1373
