"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m1",9125.1,5546.1,0.074,0.2825,-0.2668
"m2",321.7,-3257.3,0.4688,0.1385,-0.1266
"m3",8896.5,5317.5,-0.1174,0.1659,-0.1568
"m4",0,-3579,-0.2712,0.0544,-0.0383
