"","Estimate","Std. Error"
"mean_rec_pars",9.98511244571121,0.138911001917402
"logit_q",-7.94805991251534,0.0763157140303889
"logit_q",-7.56184788161895,0.0766449306038674
"logit_q",-8.45362555209939,0.0828924622276774
"logit_q",-8.35532330631441,0.0833346414221007
"log_F1",-0.808617868949805,0.142635408091175
"F_devs",0.0530377301002483,0.16452112293073
"F_devs",0.401556989825805,0.162766957972254
"F_devs",0.0931237801499136,0.155931763582398
"F_devs",-0.020426073990446,0.151611648984475
"F_devs",0.065988326527311,0.152961798386878
"F_devs",-0.198542530516758,0.154402957026373
"F_devs",0.00860701032034191,0.158663340044111
"F_devs",-0.0922663749048278,0.156945904954937
"F_devs",0.213105962119406,0.158052560338662
"F_devs",-0.0627821788010246,0.157000059082665
"F_devs",-0.0779602253787219,0.157531743010973
"F_devs",-0.00653141605714212,0.159109431437157
"F_devs",-0.0361753736742725,0.158899144741559
"F_devs",0.0837820012241638,0.161918845693104
"F_devs",0.103254690851204,0.164704992019819
"F_devs",-0.265310100628801,0.163132045133873
"F_devs",-0.186319656530098,0.164625924458205
"F_devs",-0.122644543853649,0.162122819967944
"F_devs",-0.141006878704428,0.163541119330905
"F_devs",-0.0749268210202064,0.164421855468253
"F_devs",0.0881069893339307,0.164224338048109
"F_devs",-0.270979202032575,0.162657827702701
"F_devs",-0.190372811549381,0.165905958705603
"F_devs",-0.190890725967425,0.167453369650677
"F_devs",-0.213222554357409,0.166685223987277
"F_devs",-0.180223191473679,0.164176808421268
"F_devs",-0.312184106149636,0.162258720519605
"F_devs",0.0654044487918,0.162560623459932
"F_devs",0.268073409151776,0.163705884835611
"F_devs",0.0790888766972002,0.165242170411722
"F_devs",-0.137299434480935,0.164659966133811
"F_devs",0.253789769608285,0.165913915064348
"F_devs",-0.11043963439525,0.163842687377963
"F_devs",-0.0980717953205079,0.162130147423866
"F_devs",-0.0129256903467082,0.162000863874959
"F_devs",-0.29936597863512,0.161595884230051
"log_N1_pars",10.7918333121013,0.289544227125742
"log_N1_pars",10.6657673565921,0.229142243220256
"log_N1_pars",10.421077867165,0.195223729882361
"log_N1_pars",10.0722766622355,0.179273100166681
"log_N1_pars",9.87570551141062,0.170973227126477
"log_N1_pars",9.57476602707897,0.178621938850491
"log_N1_pars",9.35044259458412,0.190862819900715
"log_N1_pars",8.28401502093411,0.295765693024283
"log_N1_pars",8.04608156861768,0.360716302416323
"log_N1_pars",7.70288168153965,0.46432207302219
"log_N1_pars",8.17924981672351,0.349558263448862
"log_NAA_sigma",-0.432649516232392,0.134010666063638
"log_NAA_sigma",-1.45203504723948,0.0791154059833169
"logit_selpars",-3.09161036049792,0.181173066180643
"logit_selpars",1.47117775001084,0.417051110311818
"logit_selpars",1.64816324267183,0.48548218069174
"logit_selpars",2.3507439462962,0.936229373882168
"logit_selpars",0.10773502651468,0.211330591398376
"logit_selpars",0.235803185594195,0.22619307764238
"logit_selpars",1.05597496406286,0.396661178957244
"logit_selpars",2.15188350296843,0.897636686506363
"logit_selpars",-0.813914570354999,0.204478925646947
"logit_selpars",0.696742247859811,0.391687183388145
"logit_selpars",1.45270131529656,0.623156727119448
"logit_selpars",-1.29741754721248,0.133100524207501
"logit_selpars",0.484164437327998,0.446179861933442
"logit_selpars",0.685485075620348,0.4787854981871
"logit_selpars",-0.383576501051727,0.0371774907577398
"logit_selpars",-2.63566396518793,0.038963506350601
"logit_selpars",-0.550867670481914,0.147540105749809
"logit_selpars",-0.961579079895813,0.148347874434638
"logit_selpars",0.828189727504479,0.246524908647328
"logit_selpars",1.36199432647873,0.360562027647688
"logit_selpars",1.11811421026921,0.311886484001924
"logit_selpars",0.719911652276026,0.269952319538163
"logit_selpars",2.37239920670914,0.936076796525516
"log_NAA",10.4109631496928,0.261278156193973
"log_NAA",9.97450316004241,0.241136522121984
"log_NAA",9.99836541129155,0.228013761479922
"log_NAA",9.23622099314969,0.249701499120326
"log_NAA",10.877227781046,0.198020250462972
"log_NAA",10.2227765399945,0.222938065902248
"log_NAA",11.1015696820585,0.193799904886953
"log_NAA",11.6302471548047,0.185141625370131
"log_NAA",10.3068715855128,0.231335258637248
"log_NAA",10.3782242699412,0.225155037779747
"log_NAA",9.71388227619975,0.244798605420791
"log_NAA",10.2397597887363,0.221978269899336
"log_NAA",10.9192603868805,0.197404508945223
"log_NAA",10.7096407032773,0.212707675005359
"log_NAA",9.59523199302783,0.250830959803856
"log_NAA",9.7119641132131,0.237647508096876
"log_NAA",9.1756387716888,0.252608109729263
"log_NAA",9.97716060820019,0.215499251849104
"log_NAA",10.132400253521,0.215287264742681
"log_NAA",9.43379231067909,0.256552992186682
"log_NAA",8.96357359318159,0.26782740181462
"log_NAA",10.2090279356205,0.21516101851806
"log_NAA",9.68657513325497,0.237441085850096
"log_NAA",10.431201891531,0.215914149771325
"log_NAA",10.3938642490671,0.215138003058202
"log_NAA",10.5848517026615,0.218632576189246
"log_NAA",9.86967982337742,0.249824507938525
"log_NAA",10.0720943411023,0.231407571227174
"log_NAA",10.0210506413628,0.233610783253801
"log_NAA",9.30956062236336,0.245751478331133
"log_NAA",9.64263976503942,0.226238355189175
"log_NAA",9.07261627561807,0.241541333449475
"log_NAA",9.21699437721407,0.232192031091594
"log_NAA",9.93731315513573,0.20793480729509
"log_NAA",9.26165766720344,0.263595813113689
"log_NAA",9.43122227541783,0.391918957401185
"log_NAA",10.6097223300188,0.196766995104356
"log_NAA",10.306721566934,0.172254877554216
"log_NAA",9.74210417560287,0.158918318380704
"log_NAA",9.94599819962042,0.146970931697334
"log_NAA",8.97445764068121,0.172188675200524
"log_NAA",10.4537726690957,0.132223457882961
"log_NAA",9.93817439162742,0.144415190337268
"log_NAA",10.5813719034641,0.129838831762815
"log_NAA",11.2590750289174,0.123357899824889
"log_NAA",10.171731753663,0.155265950187411
"log_NAA",10.2597455382937,0.146639171900263
"log_NAA",9.54601598487947,0.168880423255448
"log_NAA",10.0855976429042,0.145263425709394
"log_NAA",10.8472357425025,0.130050983328561
"log_NAA",10.7123867022353,0.141409683338103
"log_NAA",9.4572169636614,0.171374582565183
"log_NAA",9.550775725996,0.16121282591951
"log_NAA",8.93807051012375,0.175857413693335
"log_NAA",9.90905271646805,0.14308302822349
"log_NAA",10.2721198716767,0.146039674854472
"log_NAA",9.19555335217588,0.180533183884181
"log_NAA",8.75101214678742,0.195424693903899
"log_NAA",10.1704201332874,0.143010743593773
"log_NAA",9.53766319189062,0.163953172132419
"log_NAA",10.2000943631596,0.142343228534134
"log_NAA",10.3225051619638,0.14469877216407
"log_NAA",10.4584722251044,0.145914102683391
"log_NAA",9.44659114228842,0.175563485454896
"log_NAA",10.0147172281445,0.153823532750516
"log_NAA",9.83531264737091,0.153896648627045
"log_NAA",9.15278468030372,0.16559371926148
"log_NAA",9.51507539290351,0.151891115333895
"log_NAA",8.79786721591516,0.163836944842247
"log_NAA",9.06982292196872,0.155804176917948
"log_NAA",10.186780157649,0.136613167705018
"log_NAA",9.07631177538372,0.210107977201716
"log_NAA",10.3383303800836,0.159295601848585
"log_NAA",10.1672239569209,0.138500191806758
"log_NAA",9.75661395829543,0.129799401148457
"log_NAA",9.36579627877751,0.135834021036342
"log_NAA",9.58397002878198,0.122165709827283
"log_NAA",8.91566164087047,0.148735800845648
"log_NAA",9.72383932774785,0.121583044726329
"log_NAA",9.66564961278621,0.126939688892305
"log_NAA",10.1959130840724,0.121932885230947
"log_NAA",10.7959253822026,0.110118755685263
"log_NAA",9.87534588026914,0.130358464660502
"log_NAA",10.07849492548,0.12177275682987
"log_NAA",9.41279412868568,0.136482758173
"log_NAA",9.72001405218434,0.13267915627372
"log_NAA",10.5909241438757,0.116441008078401
"log_NAA",10.0965147940062,0.121611498910866
"log_NAA",9.3339584599706,0.139540916589729
"log_NAA",9.34549122146371,0.131664478021662
"log_NAA",8.92144246079131,0.148117511711101
"log_NAA",9.8346013762587,0.131260040083616
"log_NAA",10.0259585943925,0.124922745958136
"log_NAA",9.15583007044905,0.147411990679298
"log_NAA",8.75758497233883,0.160122907313469
"log_NAA",9.77206394439502,0.129771879923258
"log_NAA",9.4516205559786,0.137888446066228
"log_NAA",9.91291931956304,0.129483800216467
"log_NAA",10.0973848895347,0.128935643321587
"log_NAA",10.0232932765704,0.127519333045169
"log_NAA",9.15716508332057,0.152872070817261
"log_NAA",9.6859661644617,0.13095881749466
"log_NAA",9.28471794117657,0.133701386598262
"log_NAA",8.98680939960381,0.142862728390009
"log_NAA",9.21622349902184,0.126451839912455
"log_NAA",8.93386697380657,0.136259123559456
"log_NAA",9.27409331433895,0.13849532850409
"log_NAA",10.077280696969,0.128620920932941
"log_NAA",10.1132948023779,0.142564476454128
"log_NAA",9.93764789933486,0.128369774216331
"log_NAA",9.86832195421854,0.113994864128881
"log_NAA",9.28013401748803,0.125413272848552
"log_NAA",8.92494136482044,0.128803379650996
"log_NAA",9.35859076335337,0.119287705158954
"log_NAA",8.75297123778038,0.136520977675327
"log_NAA",9.05391297410555,0.128965843062915
"log_NAA",9.3543618927104,0.128570993537711
"log_NAA",9.81827002305402,0.117471299388682
"log_NAA",10.2538137389645,0.107319223349547
"log_NAA",9.50035385732825,0.123376569583889
"log_NAA",9.5913444916677,0.117035265234964
"log_NAA",9.35154523261522,0.128686115936568
"log_NAA",9.49763149919726,0.129030671673175
"log_NAA",10.1266115101778,0.109542434764002
"log_NAA",9.78764739109986,0.114964267750286
"log_NAA",9.19121599789719,0.125511871235057
"log_NAA",9.30750655572288,0.124723661882963
"log_NAA",9.29773148057977,0.137360204485638
"log_NAA",9.74127004480188,0.123250370395932
"log_NAA",9.83405864913236,0.11818155671083
"log_NAA",9.02378499062389,0.139130761837679
"log_NAA",9.06763093572882,0.142431013758266
"log_NAA",9.26502075936084,0.131140853733286
"log_NAA",9.33225286141022,0.134754394274184
"log_NAA",9.69975236359733,0.128907588081677
"log_NAA",9.88082777220523,0.122109428821838
"log_NAA",9.74465962509822,0.124724672451535
"log_NAA",9.01465027189104,0.140850470629458
"log_NAA",9.13549049943872,0.129065596899992
"log_NAA",8.92718198055099,0.134932521776225
"log_NAA",8.62127525034841,0.134565334794228
"log_NAA",8.94890530894608,0.127091245242549
"log_NAA",8.82583715371758,0.141620726460181
"log_NAA",9.09732521248399,0.149450246617114
"log_NAA",9.79748852569624,0.140360075419746
"log_NAA",9.58781877746282,0.130946634649246
"log_NAA",9.48451888420455,0.119105636041606
"log_NAA",9.52173771025407,0.111984789147044
"log_NAA",8.77903264116583,0.128327232692336
"log_NAA",8.54986535707879,0.135905097089225
"log_NAA",8.82546530594405,0.123949020566947
"log_NAA",8.30064382312593,0.146342681078311
"log_NAA",8.47734012596039,0.149393763028988
