Age,Length,Count
0,118,1
0,128,1
1,139,1
1,153,1
1,154,1
1,168,1
1,170,2
1,180,1
1,181,1
1,183,1
1,187,2
1,191,1
1,193,2
1,200,1
1,201,1
1,203,1
1,207,2
1,208,2
1,210,1
1,211,2
1,212,1
1,213,4
1,214,1
1,216,1
1,218,2
1,219,2
1,220,2
1,221,2
1,222,4
1,223,2
1,224,2
1,226,1
2,226,1
1,227,4
1,228,2
1,229,2
1,230,1
1,231,2
1,232,2
1,233,4
1,234,4
1,235,1
1,236,1
1,237,3
1,238,1
1,239,1
1,240,3
1,243,2
1,246,2
1,247,5
2,247,1
1,249,1
1,250,1
1,251,1
2,252,1
1,253,1
1,254,4
1,255,1
1,256,1
2,256,1
1,257,1
1,258,3
1,259,2
2,259,1
1,260,1
1,262,2
1,263,1
1,264,2
2,264,1
1,266,1
2,266,3
1,267,2
1,268,3
4,268,1
1,269,3
2,269,2
1,270,4
1,271,1
1,272,1
1,273,2
2,273,1
1,275,2
2,275,1
1,276,3
2,276,1
1,278,4
1,279,2
2,279,1
1,280,2
2,280,3
1,281,3
2,281,1
1,283,4
1,284,3
1,285,2
1,286,3
1,287,4
1,288,3
1,289,2
2,289,2
4,289,1
1,290,1
2,290,1
2,291,1
1,292,2
2,292,1
1,293,1
2,293,1
2,294,2
3,294,1
1,295,4
2,295,1
2,296,3
1,297,2
2,297,2
1,298,2
2,298,1
1,299,1
2,299,2
1,300,1
1,301,1
2,301,1
1,302,2
2,302,1
1,303,2
2,303,3
1,304,3
2,304,6
1,305,3
2,305,1
1,306,4
2,306,2
1,307,1
2,307,2
2,308,3
1,309,3
1,310,2
2,310,3
3,310,1
1,311,2
2,311,1
3,311,1
1,312,3
2,312,4
1,313,3
2,313,1
1,314,3
2,314,2
1,315,2
2,315,5
4,315,1
1,316,2
2,316,2
1,317,3
2,317,3
1,318,3
2,318,3
1,319,2
3,319,1
1,320,3
2,320,3
3,320,1
2,321,2
1,322,3
2,322,5
1,323,2
2,323,1
1,324,2
2,324,1
1,325,2
2,325,6
1,326,2
2,326,6
1,327,3
2,327,1
3,327,1
1,328,1
2,328,3
1,329,1
2,329,5
1,330,4
2,330,2
1,331,1
2,331,1
1,332,2
2,332,5
1,333,2
2,333,5
1,334,5
2,334,7
1,335,2
2,335,4
2,336,7
1,337,3
2,337,4
3,337,1
1,338,2
2,338,8
3,338,1
1,339,2
2,339,8
1,340,1
2,340,4
3,340,1
1,341,3
