Year,	R(age 1),	Low,	High,	SSB,	Low,	High,	Fbar(5-7),	Low,	High,	Catch,	Low,	High
1970,	14867,	10317,	21422,	28656,	20602,	39858,	0.491,	0.326,	0.741,	12200,	7195,	20686
1971,	15018,	10795,	20894,	27625,	21089,	36187,	0.419,	0.296,	0.593,	10115,	7011,	14595
1972,	16235,	11506,	22907,	34908,	27418,	44444,	0.362,	0.256,	0.512,	10461,	7425,	14738
1973,	10002,	7135,	14022,	39366,	31325,	49472,	0.325,	0.228,	0.464,	8098,	5770,	11365
1974,	7863,	5546,	11149,	42269,	33549,	53257,	0.288,	0.2,	0.415,	9762,	6903,	13805
1975,	8562,	6040,	12137,	52518,	41632,	66250,	0.259,	0.178,	0.377,	11273,	7950,	15984
1976,	8878,	6305,	12502,	60723,	47735,	77244,	0.21,	0.139,	0.317,	11113,	7611,	16226
1977,	7809,	5538,	11010,	58208,	45421,	74595,	0.228,	0.153,	0.339,	12561,	8761,	18008
1978,	6963,	4836,	10026,	56298,	43656,	72600,	0.264,	0.18,	0.386,	14512,	10208,	20631
1979,	11041,	7827,	15575,	53620,	41003,	70118,	0.289,	0.203,	0.413,	14500,	10326,	20361
1980,	13635,	9626,	19313,	47685,	36389,	62487,	0.335,	0.24,	0.467,	14479,	10334,	20286
1981,	11233,	8081,	15615,	43852,	33596,	57238,	0.419,	0.302,	0.58,	15784,	11147,	22351
1982,	9360,	6736,	13007,	40133,	31192,	51637,	0.407,	0.296,	0.561,	13503,	9700,	18797
1983,	9345,	6727,	12982,	39449,	30955,	50274,	0.374,	0.27,	0.516,	11805,	8506,	16384
1984,	8106,	5783,	11362,	38380,	30399,	48457,	0.363,	0.264,	0.5,	10993,	7928,	15244
1985,	8435,	6032,	11795,	40274,	31875,	50886,	0.397,	0.292,	0.54,	13604,	9795,	18893
1986,	8227,	5930,	11413,	38692,	30673,	48807,	0.403,	0.296,	0.548,	13559,	9776,	18805
1987,	7705,	5552,	10692,	36788,	29200,	46347,	0.436,	0.321,	0.592,	13396,	9709,	18484
1988,	7372,	5269,	10315,	32101,	25435,	40513,	0.479,	0.354,	0.649,	12067,	8769,	16603
1989,	4309,	3059,	6069,	28828,	22720,	36577,	0.536,	0.391,	0.736,	11738,	8442,	16321
1990,	3927,	2779,	5550,	24096,	18960,	30622,	0.503,	0.367,	0.69,	9883,	7104,	13749
1991,	5862,	4233,	8119,	22820,	17937,	29032,	0.512,	0.372,	0.705,	9230,	6614,	12881
1992,	7583,	5466,	10521,	20413,	15935,	26149,	0.498,	0.358,	0.692,	8574,	6126,	11999
1993,	7202,	5186,	10002,	17708,	13728,	22842,	0.463,	0.329,	0.653,	6928,	4929,	9737
1994,	5253,	3733,	7394,	14821,	11325,	19396,	0.435,	0.303,	0.623,	5562,	3951,	7829
1995,	5784,	4135,	8090,	15226,	11474,	20205,	0.39,	0.268,	0.566,	5539,	3956,	7755
1996,	7099,	5066,	9947,	18401,	14142,	23942,	0.326,	0.221,	0.481,	5057,	3600,	7102
1997,	7274,	5152,	10270,	21017,	16082,	27467,	0.266,	0.175,	0.403,	5039,	3531,	7191
1998,	9647,	6863,	13559,	23189,	17565,	30614,	0.253,	0.164,	0.39,	5655,	3955,	8085
1999,	11103,	7862,	15682,	24421,	18204,	32761,	0.239,	0.154,	0.371,	5584,	3937,	7919
2000,	10207,	7223,	14424,	25296,	18800,	34037,	0.218,	0.14,	0.338,	5048,	3573,	7131
2001,	6809,	4833,	9592,	28795,	21237,	39043,	0.178,	0.115,	0.275,	4925,	3496,	6939
2002,	5853,	4162,	8232,	31987,	23713,	43146,	0.135,	0.087,	0.21,	4105,	2891,	5829
2003,	4335,	3055,	6152,	36715,	27146,	49657,	0.11,	0.07,	0.173,	4158,	2898,	5967
2004,	4723,	3367,	6626,	41291,	30576,	55760,	0.107,	0.07,	0.165,	4798,	3364,	6844
2005,	4445,	3166,	6241,	42269,	31408,	56887,	0.099,	0.064,	0.152,	4587,	3186,	6602
2006,	4841,	3471,	6753,	41239,	30639,	55505,	0.106,	0.07,	0.161,	5005,	3491,	7177
2007,	4832,	3464,	6741,	38935,	28827,	52586,	0.13,	0.088,	0.192,	5698,	4001,	8116
2008,	4953,	3556,	6899,	36017,	26715,	48559,	0.168,	0.116,	0.244,	6516,	4560,	9311
2009,	4177,	2934,	5946,	32119,	23775,	43391,	0.196,	0.136,	0.282,	6272,	4414,	8913
2010,	5290,	3673,	7619,	27018,	20069,	36372,	0.229,	0.161,	0.326,	6072,	4298,	8579
2011,	7028,	4788,	10317,	24379,	18079,	32876,	0.266,	0.186,	0.379,	6217,	4405,	8775
2012,	10050,	6541,	15442,	21350,	15922,	28630,	0.307,	0.214,	0.441,	6070,	4314,	8540
2013,	10039,	6338,	15901,	19072,	14107,	25784,	0.362,	0.245,	0.535,	5945,	4197,	8421
2014,	11828,	6953,	20122,	17516,	12791,	23986,	0.356,	0.232,	0.546,	5382,	3841,	7541
2015,	8535,	4657,	15641,	20026,	14267,	28110,	0.318,	0.194,	0.52,	5037,	3552,	7142
2016,	7140,	3259,	15642,	22176,	15148,	32464,	0.271,	0.151,	0.486,	4777,	3212,	7104
