model,NAA_mod,sel_mod,sel_re,conv,runtime_min,nll,AIC,dAIC
m1,all,logistic,none,0,0.18,-883.882,-1645.8,84.4
m2,all,logistic,iid,0,0.25,-897.224,-1670.4,59.8
m3,all,logistic,ar1,0,0.29,-899.718,-1673.4,56.8
m4,all,logistic,ar1_y,0,0.26,-922.804,-1719.6,10.6
m5,all,logistic,2dar1,1,0.91,-916.343,2889.5,NA
m6,all,age-specific,none,0,0.2,-910.122,-1690.2,40
m7,all,age-specific,iid,0,1.01,-910.122,-1688.2,42
m8,all,age-specific,ar1,0,0.94,-910.122,-1686.2,44
m9,all,age-specific,ar1_y,0,1.13,-922.367,-1710.7,19.5
m10,all,age-specific,2dar1,0,0.94,-933.08,-1730.2,0
