"","Estimate","Std. Error"
"mean_rec_pars",7.6273732291473,0.257708428684414
"logit_q",-8.50618129431202,0.0499184946135006
"logit_q",-7.48051638539947,0.0530073673491169
"log_F1",-0.786222410954747,0.113105490650244
"F_devs",0.039829613444312,0.143374195045705
"F_devs",-0.344875292617898,0.143566758955569
"F_devs",0.388392028641561,0.149905712755678
"F_devs",-0.0935104166688667,0.140090538645091
"F_devs",0.185354513270672,0.13900791958883
"F_devs",0.44656899342519,0.13998983189208
"F_devs",-0.293613212639273,0.133506575115149
"F_devs",0.201579869921092,0.144639748590341
"F_devs",0.512404642429838,0.145472431606535
"F_devs",-0.756537539597785,0.127582401712443
"F_devs",-0.260962294552002,0.139941320701517
"F_devs",-0.19853130943468,0.146508597422754
"F_devs",0.555498853708766,0.15129642419345
"F_devs",-0.110039020231543,0.134998272211851
"F_devs",-0.0997385065200558,0.12953483050612
"F_devs",-0.454487965125375,0.129806177755896
"F_devs",-0.579488309449559,0.137989526923662
"F_devs",0.238888164127452,0.143235533482443
"F_devs",-0.735596958345038,0.14009799432391
"F_devs",0.481838078883842,0.141065591938321
"F_devs",-0.242027381306509,0.135205075502572
"F_devs",-0.420979592663414,0.135323137573153
"F_devs",0.246296652926949,0.138218635242446
"F_devs",-0.305092627941525,0.14039287333513
"F_devs",-0.213676962799323,0.140507031289196
"F_devs",0.110928164560377,0.1406487596346
"F_devs",0.0977206878267661,0.140349970273103
"F_devs",0.378566590498211,0.141902890480632
"F_devs",-0.192669710461853,0.140561205981224
"F_devs",0.130178353769811,0.140257921546498
"F_devs",-0.0757452631786831,0.137601459739246
"F_devs",-0.136747010137472,0.137363530643984
"F_devs",0.123737149708874,0.138651544398473
"F_devs",-0.114569539111954,0.138393944219017
"F_devs",0.0854968198430579,0.140851561060062
"F_devs",-0.367933093072752,0.143599403817664
"F_devs",-0.320845495652424,0.141367689192428
"F_devs",-0.479628221005658,0.142754087488824
"F_devs",0.0598347802341663,0.144417120192533
"log_N1_pars",8.92872377616212,0.0714723288763109
"log_N1_pars",9.56515912497923,0.0513287957027204
"log_N1_pars",7.14534516326878,0.153046014566879
"log_N1_pars",7.65813912464403,0.112141589809824
"log_N1_pars",6.6627556127682,0.184413954181242
"log_N1_pars",6.11292576570088,0.245815749370368
"log_N1_pars",-19.2879231210304,91670.4371339598
"log_N1_pars",-16.3813486918246,30461.1193143831
"log_N1_pars",4.1531403590976,0.729582640405297
"logit_selpars",0.389656318266617,0.152168845672498
"logit_selpars",26.3647109822051,97430.8060321264
"logit_selpars",1.38048681545512,0.670648298743729
"logit_selpars",24.466518663259,60192.8967070492
"logit_selpars",0.454292774501603,0.374981217799942
"logit_selpars",0.583793390000407,0.369357045960665
"logit_selpars",-0.640759581992781,0.0250767610359221
"logit_selpars",-2.82925056432223,0.0387031534922418
"logit_selpars",-0.535114272377154,0.103787998991864
"logit_selpars",0.902335717935543,0.216191013755264
"logit_selpars",0.0236556859871783,0.133449700812736
"logit_selpars",24.1827866246535,47582.8206770477
"logit_selpars",2.05744696736418,0.635981282594065
"logit_selpars",16.9115150335752,10995.982107162
"logit_selpars",24.0832377741867,47229.453645169
"logit_selpars",19.873915461162,12679.5900839044
"log_R_sigma",0.464474955338628,0.11449481349149
"log_R",7.39513609360174,0.143262546055461
"log_R",8.86076149123976,0.0707687878147511
"log_R",8.94677956219554,0.0679796695181828
"log_R",8.60200050303902,0.0705450896379374
"log_R",7.037129842037,0.116179095657573
"log_R",8.08587162433676,0.0704851946758329
"log_R",7.11342823522802,0.0773882305992046
"log_R",5.73118200573123,0.103134954882224
"log_R",5.52339690893016,0.0965928905957503
"log_R",4.66502879170586,0.13085784025806
"log_R",6.07015998526557,0.0691458922531383
"log_R",5.27628415540549,0.0970469907056668
"log_R",5.50694685804538,0.0925502388375772
"log_R",5.59147778318672,0.101370333054148
"log_R",6.7250850538994,0.0780014593442205
"log_R",7.38107850291677,0.072508719804167
"log_R",8.06545198448195,0.064451519895241
"log_R",7.933761109484,0.0742132428055512
"log_R",7.02754805255241,0.116352620945065
"log_R",8.05230082877257,0.0833633683856949
"log_R",8.08208166453163,0.0876482706215136
"log_R",9.81913060112299,0.0492552382116565
"log_R",8.21954466865495,0.0879063938596402
"log_R",7.2204064599477,0.132967512443329
"log_R",7.68413661512037,0.103981354062881
"log_R",5.89257781738275,0.230153414564262
"log_R",9.07642677338881,0.059279497761097
"log_R",6.43141389356441,0.167005662830926
"log_R",7.57056851882616,0.101889117259907
"log_R",7.75778256814206,0.0967375993814415
"log_R",5.96455959193546,0.216832773050453
"log_R",6.56860236718238,0.183806484777086
"log_R",7.5590154338554,0.141804110173265
"log_R",9.94230852714749,0.082340628003395
"log_R",8.95967787590857,0.135394913612789
"log_R",10.6104718968096,0.103524863864707
"log_R",12.0632803430824,0.0901671250776532
"log_R",9.40557195491926,0.378167951483062
"log_R",9.42756075777043,0.55785746714857
"log_SPR0",2.39785316722293,0
"log_SPR0",2.53416813519479,0
"log_SPR0",2.33267632183505,0
"log_SPR0",2.35617223859458,0
"log_SPR0",2.3421089716155,0
"log_SPR0",2.35800443367318,0
"log_SPR0",2.3101916711025,0
"log_SPR0",2.34325791807596,0
"log_SPR0",2.3141693851657,0
"log_SPR0",2.30066280847591,0
"log_SPR0",2.45047056445806,0
"log_SPR0",2.41900781032156,0
"log_SPR0",2.37827965793774,0
"log_SPR0",2.42273122897524,0
"log_SPR0",2.4175335710757,0
"log_SPR0",2.26569902340969,0
"log_SPR0",2.29331855289612,0
"log_SPR0",2.3287837695165,0
"log_SPR0",2.52396446445922,0
"log_SPR0",2.12299072708566,0
"log_SPR0",2.25226064928503,0
"log_SPR0",2.17472968379886,0
"log_SPR0",2.07798141445434,0
"log_SPR0",2.02480693955376,0
"log_SPR0",1.96639384785083,0
"log_SPR0",1.93206721239577,0
"log_SPR0",1.85097329553414,0
"log_SPR0",1.75404683596837,0
"log_SPR0",1.73060171942736,0
"log_SPR0",1.62809260287559,0
"log_SPR0",1.57913877145374,0
"log_SPR0",1.63334747748426,0
"log_SPR0",1.66345443869806,0
"log_SPR0",1.70939739847684,0
"log_SPR0",1.7415993726823,0
"log_SPR0",1.67536116809369,0
"log_SPR0",1.69073453628879,0
