"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m1",8712.4,6728.5,-0.3074,-0.2279,0.3011
"m2",253.9,-1730,2.1693,-0.1025,0.0669
"m3",7540.8,5556.9,-0.245,-0.1012,0.1053
"m4",0,-1983.9,-0.0297,-0.1142,0.1658
