Year,SSB
1959,47739
1960,53054
1961,46479
1962,43800
1963,50854
1964,56535
1965,54943
1966,54041
1967,64439
1968,75428
1969,79824
1970,78183
1971,58115
1972,50991
1973,69402
1974,84076
1975,100710
1976,107757
1977,105072
1978,73340
1979,61424
1980,54657
1981,58836
1982,60307
1983,100069
1984,122376
1985,85792
1986,73877
1987,59014
1988,50214
1989,37170
1990,30868
1991,22008
1992,16675
1993,25674
1994,56522
1995,60810
1996,82572
1997,75454
1998,49085
1999,37651
2000,38369
2001,56321
2002,58208
2003,44029
2004,26130
2005,21175
2006,16770
2007,14654
2008,18052
2009,19139
2010,22084
2011,20047
2012,17482
2013,16242
2014,17466
2015,18088
2016,23295
2017,27112
2018,32985
2019,58637
2020,100749
2021,122829
