Year,fp
1959,20304
1960,18543
1961,26531
1962,27279
1963,19901
1964,11176
1965,17918
1966,22786
1967,21066
1968,12584
1969,8761
1970,9855
1971,19166
1972,17972
1973,39232
1974,40125
1975,24459
1976,11086
1977,12909
1978,15491
1979,24284
1980,17693
1981,26771
1982,36661
1983,56950
1984,20601
1985,7833
1986,8560
1987,11370
1988,20580
1989,6009
1990,5811
1991,7921
1992,8374
1993,23831
1994,43833
1995,11746
1996,4904
1997,7003
1998,16321
1999,28843
2000,42412
2001,18262
2002,8963
2003,4371
2004,6788
2005,9476
2006,6278
2007,5650
2008,13394
2009,21565
2010,6888
2011,1103
2012,2656
2013,9512
2014,3162
2015,5858
2016,8046
2017,21523
2018,48856
2019,8046
2020,8046
2021,7467
