"log.L.","X.par","AIC","M"
-1272.32928630797,30,2604.65857261594,0.2
-1255.30039204709,30,2570.60078409417,0.44
-1253.96873913889,30,2567.93747827777,0.48
-1252.91530145082,30,2565.83060290164,0.52
-1252.08718445904,30,2564.17436891807,0.56
-1251.45519747001,30,2562.91039494002,0.6
-1250.99993485449,30,2561.99986970897,0.64
-1250.70585710492,30,2561.41171420984,0.68
-1250.56135308617,30,2561.12270617234,0.72
-1250.55949422156,30,2561.11898844311,0.76
-1250.69755145664,30,2561.39510291328,0.8
"log.L.","X.par","AIC","M"
-1272.32928630797,30,2604.65857261594,0.2
-1255.30039204709,30,2570.60078409417,0.44
-1253.96873913889,30,2567.93747827777,0.48
-1252.91530145082,30,2565.83060290164,0.52
-1252.08718445904,30,2564.17436891807,0.56
-1251.45519747001,30,2562.91039494002,0.6
-1250.99993485449,30,2561.99986970897,0.64
-1250.70585710492,30,2561.41171420984,0.68
-1250.56135308617,30,2561.12270617234,0.72
-1250.55949422156,30,2561.11898844311,0.76
-1250.69755145664,30,2561.39510291328,0.8
