"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m1",6963.2,4633.7,2.6098,1.0898,-0.5647
"m2",435.8,-1893.7,1.9203,0.8222,-0.4798
"m3",6503.9,4174.4,0.3032,0.1311,-0.1234
"m4",0,-2329.5,0.3038,0.1075,-0.1034
