year,	fleet,	age,	logObs,	pred,	predSd
2012,	2,	2,	0.0769610411361284,	2.09779068994729,	0.821875909955176
2012,	2,	3,	0.582215619852664,	1.871824977007,	0.777401837173802
2012,	2,	4,	3.00864849882054,	3.99912928786692,	0.761831868865335
2012,	2,	5,	1.22671229129543,	2.0141467790944,	0.755010339592796
2012,	2,	6,	-0.867500567704723,	0.132409625211386,	0.754584582916545
2012,	2,	7,	-1.20397280432594,	-0.394846992442058,	0.755769107394119
2012,	2,	8,	-2.40794560865187,	-0.98109365050546,	0.753716475262483
2012,	3,	2,	0.0953101798043249,	1.1786065298217,	0.932724215730837
2012,	3,	3,	2.64617479738412,	1.76927303258902,	0.893888880595928
2012,	3,	4,	3.05352937228021,	3.95385356350804,	0.8806295795984
2012,	3,	5,	0.548121408509688,	2.08518567664817,	0.874605339933119
2012,	3,	6,	-0.400477566597125,	0.479653082849076,	0.874133204946548
2012,	3,	7,	-1.83258146374831,	0.196239472400547,	0.878766377239854
2012,	3,	8,	-3.2188758248682,	-0.390007185662856,	0.877101515466378
2013,	2,	2,	3.48492559719287,	2.9669546024955,	0.88794931199928
2013,	2,	3,	2.03861954715958,	2.63839070788146,	0.836057082554325
2013,	2,	4,	1.76985463384001,	1.87295724256741,	0.802359343056222
2013,	2,	5,	2.23751309625033,	3.5069132875891,	0.787993046240056
2013,	2,	6,	-0.478035800943,	1.56389790538493,	0.779341807172412
2013,	2,	7,	-1.46967597005894,	-0.604814079225553,	0.780932798242161
2013,	2,	8,	-2.81341071676004,	-0.847752082454304,	0.779797484161923
2013,	3,	2,	2.09309786812732,	2.04810150511218,	0.992201146352577
2013,	3,	3,	1.79840401194672,	2.53541674188166,	0.946661508514177
2013,	3,	4,	2.30757263450508,	1.82815669678451,	0.917058638962055
2013,	3,	5,	2.70671597808907,	3.57970321885646,	0.904291728496686
2013,	3,	6,	0.53062825106217,	1.91484546862676,	0.896226947029845
2013,	3,	7,	-0.891598119283784,	-0.00941526983956877,	0.90067944581022
2013,	3,	8,	-2.52572864430826,	-0.25235327306832,	0.899679610377648
2014,	2,	2,	1.45395300959371,	2.54934738872596,	0.985208169487568
2014,	2,	3,	2.96475746925456,	3.73419351688085,	0.917005335203428
2014,	2,	4,	0.966983846189673,	2.43491254694226,	0.870964042084041
2014,	2,	5,	1.17557332980424,	1.40578045465303,	0.84189280143103
2014,	2,	6,	1.76814960358892,	2.82545858031439,	0.827295090524661
2014,	2,	7,	-0.755022584278033,	0.933280137160778,	0.809974058320218
2014,	2,	8,	-1.96611285637283,	-0.799927128960681,	0.806679434723954
