"","R(age 1)","Low","High","SSB","Low","High","Fbar","Low","High","Catch","Low","High"
"24",2443324.02462646,1906914.12921681,3130624.60330539,79809.0430498492,59140.9968172732,107699.966103249,1.61861196925832,1.28665494858028,2.03621391260893,308584.906275326,257590.803592731,369674.084062055
"25",565406.269824705,414556.082971738,771148.375547735,73483.3990641998,56512.8713487331,95550.0899026518,1.03983125148618,0.804096922813726,1.34467500234148,237435.345172577,197563.077634168,285354.651346405
"26",355743.902147765,261875.584900891,483258.964226139,85811.6532942249,68786.191630269,107051.134342026,1.05768991048529,0.826445576670449,1.3536377691673,184663.741279811,153869.770707888,221620.511856061
"27",1252989.22562137,972433.101618388,1614488.43823846,85802.0111178386,67078.5458599222,109751.70999144,1.20950026430671,0.960793172888123,1.52258668216864,196989.449172719,164001.089599652,236613.324826677
"28",321722.659941427,236576.499939239,437513.742685223,75868.1944357519,59333.1913225999,97011.1803972462,1.15155460073877,0.902952225283728,1.46860261412606,151711.750272549,126328.65484706,182195.046710702
"29",389544.244195923,296904.27857516,511089.698384926,67828.9227856347,53127.0274882086,86599.2882300956,1.13964936604551,0.874672002014445,1.48490025350838,118284.651813431,98418.9574399659,142160.201840778
"30",1177679.91612619,963249.325020606,1439845.27040009,66796.8683119706,50354.7205672886,88607.8120585426,1.01645394245874,0.794002342900031,1.30122867568163,145397.854201273,120685.010219079,175171.182965957
"31",365949.274023049,285594.633159974,468912.42204465,75091.7845143878,59168.5007278351,95300.3039149604,0.993496546746073,0.766896231931679,1.28705207731977,144174.983528993,119727.116241267,173615.021627162
"32",1393571.11152027,1146812.72699721,1693424.21578181,84855.0037598086,66637.4564016668,108052.918762023,1.36952605615187,1.09614528589162,1.71108852322734,191564.529335028,160537.5674023,228588.046356712
"33",687119.30367525,545041.60765718,866232.835897775,80226.6039159656,63270.0186101018,101727.613129888,0.956949240067798,0.746206030288142,1.22721046319168,169179.639378785,140528.457514163,203672.273122696
"34",313004.50953398,244331.644617931,400978.854547509,95560.0169389188,77768.1979831756,117422.250665265,0.895425609683714,0.691533683749941,1.15943307075028,141164.577505483,117188.251653106,170046.379745383
