"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m1",4536,2202.8,-0.1461,0.1387,-0.1182
"m2",129.8,-2203.4,-0.0378,0.2165,-0.1899
"m3",4511.9,2178.7,-0.0453,0.1439,-0.1371
"m4",0,-2333.2,0.0351,0.1199,-0.1319
