"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m1",5289.6,3092.7,0.3231,0.2966,-0.2642
"m2",73.3,-2123.6,0.246,0.4139,-0.3336
"m3",5135.9,2939,0.1368,0.1493,-0.149
"m4",0,-2196.9,0.1432,0.4027,-0.3105
