"Year","Frep","Low","High","SSB","Low","High","R","Low","High","PredCatch"
1973,0.72348,0.600726169895222,0.871317642930881,23065,20499.9743845995,25950.9702314388,21781,17865.6853596178,26554.3667343613,14564.23
1974,1.6648,1.45678830159264,1.90251324572691,9620.8,8545.84526864551,10830.9698725297,11175,9001.71256616857,13872.9851772143,14622.62
1975,1.6443,1.38767633804092,1.94838120091969,3291.7,2850.11744953683,3801.69908147499,38605,33932.7785468334,43920.5419898949,4988.105
1976,1.1022,0.891966446362618,1.36198490980693,3920.1,3445.93415139622,4459.51179994938,18766,15360.1516422686,22927.0364122518,3218.574
1977,1.56,1.26086862462103,1.93009799155837,3958.6,3394.08795848583,4617.00290377593,64503,56704.7904668683,73373.6422398209,5333.536
1978,1.6843,1.38399073184191,2.04977275116901,5540.2,4869.7273676366,6302.98448409782,59194,51636.8634117624,67857.1354743022,7136.759
1979,1.4539,1.21204854414688,1.74401035355218,7480,6641.46474267754,8424.40668855276,48435,41381.7129520768,56690.4813176001,8183.996
1980,1.1089,0.906233452576843,1.356890110935,8075.7,7092.42379404384,9195.29520285698,66026,56360.5709716595,77348.9799844666,7315.184
1981,0.79014,0.632812337584921,0.986581933567657,9630.8,8406.40254099403,11033.5316668088,169300,149916.655476268,191189.49731731,6264.81
1982,1.105,0.907072068476184,1.34611685491676,16814,15032.2064377865,18806.9926507495,68600,58379.2474774779,80610.1517806565,14402.37
1983,1.4463,1.23378960721285,1.69541360842337,16282,14551.7951985671,18217.9257186154,16166,12920.7854059756,20226.2902593471,18929.48
1984,1.9898,1.72383426673823,2.29680086792313,5806.2,5109.88561814879,6597.39981659573,22711,19370.0833216677,26628.1518997406,10322.7
1985,1.9837,1.65481426312246,2.37795006829041,2569.6,2233.98307093819,2955.63750947632,24809,21712.4167302644,28347.2120421348,4366.27
1986,1.9216,1.62565435572649,2.27142168751476,2397.8,2124.87616814378,2705.77877722753,7138.7,5740.94158509865,8876.77342376657,3467.415
1987,1.6487,1.35102589566447,2.01196120571998,1677.6,1430.19706951939,1967.7999766464,16288,13438.7357781092,19741.3617158955,2376.376
1988,0.9677,0.770998323101392,1.2145853783872,2199.5,1868.31857725218,2589.38722169919,157710,142042.338452532,175105.847812495,2596.226
1989,1.1164,0.919118345396974,1.35602663818193,9435.9,8460.22691642066,10524.0922837646,39556,33854.2297731612,46218.069248187,6365.214
1990,1.7405,1.5205894159999,1.99221447823112,9113.5,8217.52016295889,10107.1710933404,11577,9765.65909045055,13724.3096199272,13244.41
1991,1.6286,1.42626044454037,1.85964489876514,3796.4,3413.63608176669,4222.08244076822,3397.3,2807.34534116254,4111.23174650844,5402.975
1992,1.429,1.2463661523543,1.63839574441485,1689.5,1516.67981370482,1882.01242227091,2972.8,2500.54536987881,3534.24494770448,2292.664
1993,0.76429,0.629574037337526,0.927832422331661,1033.6,910.846887144766,1172.89631778717,4096.8,3516.84014889885,4772.40065780503,711.0833
1994,1.0909,0.904837055016011,1.31522333596179,679.17,598.978408349099,770.097690451573,8149.4,7187.97770915557,9239.41657128512,618.1095
1995,0.45214,0.36105862817452,0.566197740886523,912.29,810.473042122047,1026.8978742598,6237.7,5350.68882938292,7271.75556842972,339.9509
1996,0.58561,0.471896820263391,0.726724693564553,1548.9,1384.93002287407,1732.28334311166,5519.7,4630.05914891738,6580.28053423981,789.5222
1997,0.95787,0.784531961758603,1.1695061280146,1466.9,1295.60518232876,1660.84208318178,12056,10580.3385196603,13737.4750089438,1235.941
1998,0.93635,0.756210971677553,1.15940042572385,1612.7,1437.25387706339,1809.56289734559,7141.6,6083.61030236746,8383.58277816582,1230.035
1999,1.0559,0.853988519390445,1.30555011535261,1923.1,1696.66685136045,2179.75238157954,10874,9523.02071393079,12416.6353882888,1716.705
2000,0.99667,0.810920552452654,1.22496721275047,1891.4,1676.56575938779,2133.76298541747,5953.8,5139.51520530744,6897.09690972294,1575.612
2001,1.3075,1.09333689352888,1.56361342978393,1682.1,1510.6869421493,1872.96277677124,5252.8,4592.35598608072,6008.22495547605,1829.136
2002,0.83438,0.693466484477266,1.00392737065698,1347.7,1211.70638917619,1498.95660056299,2092.4,1743.92530973273,2510.50760922266,946.7734
2003,0.72646,0.598460598159046,0.881836052738342,1122.9,1004.7059655831,1254.99843057885,2254.2,1904.15138623075,2668.5996064938,710.4535
2004,0.91837,0.760403421244111,1.10915263311163,760.13,672.947339309808,858.607476615635,2752.8,2337.90700981987,3241.32132209307,628.9651
2005,0.5976,0.476548583751508,0.749400527410276,680.41,595.442484474153,777.502076474855,8914.9,8000.38628737128,9933.95058129294,358.1767
2006,0.54025,0.428936421766518,0.680450639509631,1028.5,924.943316903025,1143.65089262103,6876.5,6081.93642398521,7774.86789627037,450.3762
2007,0.41841,0.335336116745554,0.522064040697522,1655.4,1503.00150612795,1823.25110708619,3042.8,2554.25226695495,3624.7914741161,579.2372
2008,0.39978,0.3229544833657,0.494881033185787,1843.5,1666.73615114028,2039.01034226381,4815.7,4179.32326880337,5548.97647260487,664.8056
2009,0.30467,0.244312842810223,0.379938311192684,1819.2,1639.39090213063,2018.73063690839,4490.1,3864.88974136782,5216.44842651187,505.4554
2010,0.1721,0.137329594095014,0.215673906233991,2033,1834.11241235738,2253.4545713519,3634.9,3064.57573897932,4311.36285585832,316.964
2011,0.23974,0.188766615456948,0.304477926146365,2189.2,1975.42020211102,2426.11502852832,7845.5,6937.33554306082,8872.55198598087,484.6685
2012,0.42514,0.333247271317669,0.542372091706357,2136.2,1927.94791871681,2366.94694690572,2492,2093.3080583968,2966.62690189808,797.6045
2013,0.6033,0.48012398505052,0.75807687458418,1838.6,1648.81233295044,2050.23330578253,2015.7,1692.71922161704,2400.30740958835,992.7179
2014,0.75825,0.615044302368008,0.934799428734463,1246.7,1098.2549427111,1415.20955613751,603.25,455.457255396893,799.000473014492,866.5882
2015,0.52997,0.408263846653981,0.687957562742622,772.42,644.032572787701,926.401367895835,656.48,466.692259653534,923.447907021093,374.3656
2016,0.32074,0.231701261663443,0.44399476662941,502.3,390.603043033774,645.937850459051,2549.2,1740.38793435535,3733.8920316102,151.2745
