"Year","Index","Age","logObs","Pred"
2014,1,"1",-2.6200141526011,-1.55709192196966
2014,1,"2",-0.421128956438802,-0.311913019154202
2014,1,"3",-0.392834201352969,-0.248171020497361
2014,1,"4",-0.719164139281471,-0.492444425749838
2014,1,"5",-0.388646446774074,-0.863708123477803
2014,1,"6",-0.930421808780432,-1.1848510593154
2014,1,"7",-2.55647847479667,-1.64295236551618
2014,1,"8",-2.55471338687067,-2.28125998443172
2014,1,"9",-3.00033444320096,-2.090326182613
2014,2,"1",-0.875578938608075,-0.204230720078363
2014,2,"2",-0.45360814038433,0.140186339552369
2014,2,"3",-0.429829798011065,-0.102013721763306
2014,2,"4",-0.555211615519757,-0.398247443236191
2014,2,"5",-1.17895160426293,-0.805835754791797
2014,2,"6",-1.5869864629666,-1.15735099852934
2014,2,"7",-2.23068796800985,-1.63501105476866
2014,2,"8",-3.57396067577982,-2.28361547368438
2014,2,"9",-4.14332859021152,-2.09752507186566
2015,1,"1",-1.08774488081839,-1.19274518895854
2015,1,"2",0.0277912507293293,-0.251796918904434
2015,1,"3",-0.418502776153711,-0.261223416866663
2015,1,"4",-0.354866337277073,-0.499835815819445
2015,1,"5",-0.73252403376677,-0.822473451019371
2015,1,"6",-1.88814116072325,-1.2594339757739
2015,1,"7",-2.6699812477928,-1.63392958277937
2015,1,"8",-3.97210482432454,-2.12550405681114
2015,1,"9",-4.03335216304091,-1.99201146886419
2015,2,"1",0.742517716852319,0.161551662932763
2015,2,"2",-0.191305195418561,0.203480439802138
2015,2,"3",-0.299064699375335,-0.108481368132608
2015,2,"4",-0.929373516959257,-0.393511983305798
2015,2,"5",-1.05909873877242,-0.745688132333366
2015,2,"6",-2.57356885005491,-1.20709541498785
2015,2,"7",-4.01504683042333,-1.59732077203186
2015,2,"9",-4.33514319276626,-1.96757770811685
2016,1,"1",-2.17666316592189,-1.3789318667641
2016,1,"2",0.329365992255693,0.117103813379702
2016,1,"3",0.0572945996773474,-0.191367120382596
2016,1,"4",-0.190938552140625,-0.493851819952693
2016,1,"5",-0.772559903911949,-0.797389993902939
2016,1,"6",-1.86741700386708,-1.17107030055165
2016,1,"7",-3.21908436614642,-1.64960318440638
2016,1,"8",-4.06284608095926,-2.05030516111267
2016,1,"9",-4.6564638181757,-1.79652305141082
2016,2,"1",0.277158612222894,-0.0224664148728026
2016,2,"2",0.253615224893936,0.577181572086273
2016,2,"3",0.415132741091863,-0.0286785216485409
2016,2,"4",-0.294791989852006,-0.369209937439045
2016,2,"5",-0.910824282192271,-0.692035975216933
2016,2,"6",-2.27596174297974,-1.08121238976559
2016,2,"7",-3.85377264079214,-1.56969112365886
2016,2,"8",-6.57130186962387,-1.97562730036533
2016,2,"9",-5.49678694441631,-1.72430714066348
