"Year","Frep","Low","High","SSB","Low","High","R","Low","High","PredCatch"
1989,1.0827,0.860642635006844,1.36205114912844,9358.3,8211.88486881683,10664.7597097423,12243,10634.5547458742,14094.7178872864,6532.281
1990,1.1252,0.908303756605916,1.39388946791432,10012,8893.47394395034,11271.2023031435,11383,9851.9082857186,13152.0397107055,7243.665
1991,0.91584,0.74071043879899,1.13237624537869,11162,10003.8777920475,12454.1949221973,7441.2,6338.19483452454,8736.1557802528,6479.444
1992,1.3915,1.14481969523195,1.69133380397311,11807,10583.2462018658,13172.257957622,6955.1,5997.74012375534,8065.2737550943,9968.781
1993,1.6608,1.39651397025372,1.97510135863437,9500.9,8513.77775563423,10602.4732381889,6267.2,5473.26479561107,7176.3010390976,9657.612
1994,1.2315,1.01621561501426,1.49239219275204,7116.9,6366.55190552393,7955.68250469353,3818.4,3288.29628155428,4433.96133182633,5677.203
1995,1.1195,0.931202950935466,1.34587229211525,6410.3,5798.9326113494,7086.12236837807,2603.6,2201.30310994704,3079.41824520617,4628.331
1996,0.88237,0.729383365190427,1.06744526137737,6279.1,5706.93609180035,6908.62770772014,3207.3,2758.47769772574,3729.14861645649,3656.719
1997,0.58411,0.475835093122688,0.717022550524725,6023,5453.29908641364,6652.21702040502,3897.6,3388.53878288509,4483.13763936494,2596.7
1998,0.46064,0.374228514194334,0.567004387831901,6951.9,6275.5947546504,7701.08898032125,4076.1,3553.65795385485,4675.3490138175,2602.999
1999,0.59797,0.492928480055323,0.725395539855739,6989.5,6306.65016130082,7746.28511182924,5235.1,4637.44697364961,5909.77582400939,3189.408
2000,0.54927,0.451398900454051,0.668361248989596,6925.9,6259.79469108439,7662.88563398401,2420.6,2059.01281878313,2845.68619804069,2932.008
2001,0.59357,0.488172455167852,0.721723114793229,8063,7338.9106273705,8858.53123180674,2089.5,1771.08533539566,2465.16086082584,3719.744
2002,0.46737,0.382978708864184,0.570357338004039,9687.7,8859.36197322121,10593.4864805932,2145.1,1835.46564223212,2506.96820693639,3446.046
2003,0.62589,0.52183668291507,0.750691365566104,9723.4,8878.30993144171,10648.9307413317,1965.8,1681.07362841706,2298.75097358988,4648.763
2004,0.52621,0.434773265613187,0.636876703330586,8112.5,7350.02723838821,8954.06970824125,1713.4,1455.93584440462,2016.39349101988,3586.509
2005,0.56204,0.460531594650562,0.685922454114548,6555,5927.89416554713,7248.4467164967,2573.5,2240.14047353833,2956.46738596667,2980.645
2006,0.39481,0.315628620717103,0.493855518380604,6033.9,5408.65742965806,6731.42081625638,3091.7,2706.03539198375,3532.32959122265,1988.553
2007,0.29507,0.233629391704548,0.372668456929878,6918.6,6189.48915633094,7733.59880775283,2654.8,2294.11552344656,3072.19186129368,1740.977
2008,0.26187,0.207485462217579,0.330509406138962,7851.5,7049.51776163962,8744.71904808166,2878.2,2486.3827139161,3331.76191808078,1661.004
2009,0.31301,0.249547142159669,0.39261223050718,8173.5,7367.89500736358,9067.18977173711,2703.3,2311.98519021467,3160.84675668769,2042.064
2010,0.25292,0.200948591488078,0.318332793110396,10283,9235.59791939481,11449.1871476935,2367.3,1991.94325746732,2813.38801644652,2187.587
2011,0.3529,0.279934640407582,0.444883883676109,12057,10767.3921890455,13501.0638089227,2379.5,1979.11296857954,2860.88785222997,3484.17
2012,0.37401,0.290446770012751,0.481614858701506,11603,10175.913724969,13230.2231169329,2309.2,1886.15626772174,2827.1277047691,3579.967
2013,0.29355,0.222099104602994,0.387987167503593,11011,9402.94811679133,12894.0540237047,2253.2,1795.83048957947,2827.05426233679,2731.818
2014,0.26322,0.193027517286633,0.358937261246109,9960.4,8231.82673951672,12051.950472153,2385,1842.2640982669,3087.62734146052,2190.825
2015,0.21166,0.152269079975541,0.294215710814017,9449,7595.71282773849,11754.4729539996,3430.9,2573.62361225169,4573.73593946062,1795.553
2016,0.13379,0.0953207761678118,0.187784497982765,10993,8610.20199674278,14035.2164845512,2845,1798.80062008697,4499.67879130966,1412.805
