Year,R(age 1),Low,High,SSB,Low,High,Fbar(2-4),Low,High,Catch,Low,High
1963,483107,319627,730204,204227,153478,271757,0.447,0.369,0.542,117184,102928,133414
1964,762196,508218,1143099,215983,165443,281963,0.491,0.411,0.586,142573,128213,158542
1965,1072050,717478,1601848,248743,195209,316959,0.537,0.452,0.637,194748,172199,220250
1966,1277417,855902,1906522,273545,215906,346570,0.545,0.462,0.643,237211,209918,268052
1967,1055738,707728,1574875,312038,247647,393171,0.586,0.5,0.688,282550,249457,320034
1968,522211,349753,779705,309424,253195,378142,0.618,0.527,0.724,289127,259280,322409
1969,446388,297066,670765,308221,249326,381027,0.597,0.511,0.698,221791,202937,242396
1970,1505264,1008060,2247702,312102,252160,386294,0.638,0.55,0.739,242143,212568,275834
1971,1953033,1304192,2924677,315767,254977,391050,0.737,0.64,0.848,333261,283637,391567
1972,487426,325918,728970,283298,228684,350953,0.81,0.704,0.933,350665,302697,406235
1973,690824,462056,1032857,234387,194466,282504,0.781,0.678,0.9,250921,226767,277648
1974,675383,451541,1010190,246511,204904,296567,0.744,0.646,0.858,220844,196415,248312
1975,1150676,762714,1735981,225288,186009,272861,0.81,0.708,0.927,224741,197753,255412
1976,827779,544158,1259226,195980,158613,242152,0.88,0.767,1.009,230134,198150,267280
1977,1931697,1279967,2915273,165963,134843,204264,0.827,0.722,0.948,229188,192063,273488
1978,1136027,760265,1697511,159014,134940,187383,0.907,0.796,1.033,308816,255834,372770
1979,1518051,1009542,2282698,153824,131623,179770,0.843,0.739,0.963,302129,260584,350297
1980,2424853,1604709,3664160,167389,144413,194020,0.928,0.818,1.053,349366,292631,417101
1981,966743,644916,1449168,173395,151175,198880,0.928,0.82,1.049,361765,306688,426732
1982,1623323,1103715,2387553,177487,153981,204582,1.045,0.928,1.177,358440,306173,419630
1983,876573,614747,1249912,145463,125230,168965,1.035,0.921,1.163,304964,259921,357812
1984,1707372,1194853,2439731,127751,109219,149428,0.973,0.865,1.094,262199,223174,308048
1985,363504,246124,536863,128210,109649,149913,0.939,0.834,1.057,235953,202185,275361
1986,1841711,1290771,2627809,117801,101747,136388,0.983,0.874,1.104,217771,182676,259609
1987,688075,484328,977533,121334,105171,139981,0.979,0.871,1.1,253244,212037,302459
1988,468947,329686,667032,117184,103212,133048,0.985,0.877,1.107,200955,177361,227687
1989,892502,621702,1281258,110421,96750,126023,1.004,0.891,1.13,178513,152337,209186
1990,322304,227176,457265,98423,85882,112796,0.913,0.808,1.032,137030,118831,158017
1991,369391,262149,520506,97895,84578,113309,0.921,0.817,1.039,116613,102931,132113
1992,980532,710919,1352394,92549,80986,105764,0.915,0.816,1.025,144844,121570,172575
1993,423834,313587,572842,96322,85943,107954,0.969,0.863,1.087,158772,136533,184633
1994,1119600,820006,1528653,95840,85649,107244,0.945,0.842,1.061,153249,130696,179694
1995,656574,483488,891623,105386,94881,117054,0.884,0.785,0.995,177623,151442,208329
1996,417490,307495,566830,114683,103310,127308,0.927,0.826,1.039,159852,140606,181732
1997,1599994,1152671,2220913,115112,103955,127466,0.993,0.89,1.107,207718,168709,255746
1998,127286,90786,178459,118308,107007,130803,1.139,1.021,1.269,196662,166975,231627
1999,273561,201111,372110,95993,86348,106716,1.139,1.021,1.27,112857,101301,125732
2000,498016,366309,677078,69838,62665,77833,1.153,1.023,1.3,102619,85903,122587
2001,156266,114149,213923,58007,51648,65150,0.9,0.797,1.018,66293,57484,76451
2002,265083,194312,361630,60988,55029,67592,1.039,0.911,1.185,66694,58379,76193
2003,108256,78557,149184,50907,45467,56998,0.76,0.662,0.871,41531,36413,47369
2004,217704,160486,295323,47287,42291,52872,0.797,0.701,0.906,37181,33247,41580
2005,148844,107824,205470,53086,46985,59979,0.817,0.72,0.928,42651,37277,48799
2006,388272,287140,525024,47166,41348,53802,0.728,0.64,0.828,33899,29682,38715
2007,175557,130349,236445,81125,71912,91517,0.668,0.584,0.763,56755,49099,65605
2008,208047,154390,280353,88896,79241,99727,0.633,0.552,0.727,54487,48743,60906
2009,194910,144070,263691,96844,86117,108908,0.636,0.551,0.734,58047,51452,65488
2010,324571,239811,439289,100237,88080,114073,0.54,0.466,0.626,51895,46256,58221
2011,140281,103014,191030,113645,97570,132369,0.436,0.374,0.508,47462,42213,53363
2012,200310,148700,269832,111351,94906,130646,0.401,0.344,0.467,41028,37489,44901
2013,264475,196217,356479,117943,101069,137635,0.396,0.34,0.461,42750,38700,47224
2014,377294,278317,511471,123946,106563,144163,0.398,0.342,0.463,47569,42467,53285
2015,183562,135081,249444,145848,124325,171097,0.377,0.324,0.439,54697,48951,61117
2016,135338,94537,193748,152389,129236,179689,0.338,0.286,0.401,51258,46842,56089
2017,797734,345025,1844449,186090,149422,231755,0.338,0.255,0.448,NA,NA,NA
