year,fleet,age,logObs,pred,predSd
2015,2,1,7.42197912225428,7.07495384580463,0.552583338952675
2015,2,2,8.18014719022361,7.93721555613166,0.293668151499015
2015,2,3,7.12641680099248,7.11946886992309,0.27752967256303
2015,2,4,6.09921969334805,6.13550909234749,0.280053253044894
2015,2,5,5.27796158629096,5.5083946761384,0.287172427071385
2015,3,1,7.54934597262768,7.62300897487949,0.445069722326166
2015,3,2,8.04354131540374,7.65901667162196,0.299223578753062
2015,3,3,6.98663115232304,6.78169461488837,0.287373620894287
2015,3,4,6.12922448681247,5.78908675644481,0.288967000707781
2016,2,1,6.85177734457268,6.9014047518064,0.734380612054928
2016,2,2,6.99324466499755,7.20722371157708,0.370735213107634
2016,2,3,7.55122890529851,7.38497599413206,0.299468529238595
2016,2,4,6.42797602362147,6.59315757783301,0.299727025358484
2016,2,5,5.84840216426614,5.84273513342414,0.30257714595495
2016,3,1,7.27891185605803,7.4515101730278,0.658979258608543
2016,3,2,7.04880335046032,6.93756737820705,0.383184421477067
2016,3,3,7.44016429647934,7.06060379065612,0.318631495827471
2016,3,4,6.72179912503503,6.25942351995077,0.315925890395489
2017,2,1,9.03879731785791,6.9014047518064,1.0671914444763
2017,2,2,6.80583328925675,7.05030899969205,0.63341736850133
2017,2,3,7.12808688046854,6.62520355641835,0.418519022689692
2017,2,4,6.98888355106351,6.76595022009105,0.362791898804526
2017,2,5,6.36475075685191,6.29820561935884,0.357450657466189
