Stock,Code,Year,Rec,SSB,F,Catches,Landings,RecAge,FAge,Assmt,Blim,Bpa,MSYBtrigger,Fpa,FMSY,Flim
Irish,cod.27.7a,1968,179755,43663,0.243,9826,8541,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1969,256848,38905,0.273,9889,7991,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1970,397373,34657,0.205,7134,6426,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1971,138878,35791,0.242,9609,9246,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1972,350572,43415,0.232,10780,9234,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1973,86737,50061,0.299,13041,11819,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1974,279634,42241,0.284,12000,10251,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1975,94009,41932,0.301,10720,9863,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1976,149392,32985,0.321,10628,10247,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1977,153393,32462,0.299,8255,8054,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1978,287761,25316,0.224,5662,5662,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1979,321157,25593,0.278,7548,7548,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1980,181647,28386,0.318,10599,10599,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1981,86234,37057,0.373,13958,13958,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1982,121466,40846,0.406,13694,13381,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1983,177981,34492,0.361,10387,10015,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1984,164798,24266,0.358,8385,8383,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1985,125332,24134,0.411,10544,10483,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1986,322666,24309,0.422,10006,9852,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1987,158412,25012,0.509,13022,12894,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1988,75241,22977,0.571,14277,14168,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1989,90257,25018,0.602,12953,12751,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1990,105592,18955,0.463,7538,7379,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
