Stock,Code,Year,Rec,SSB,F,Catches,Landings,RecAge,FAge,Assmt,Blim,Bpa,MSYBtrigger,FMSY,Fpa,Flim
North Sea,cod.27.47d20,1963,448879,129744,0.467,128092,115893,1,2-4,2022,69841,97777,97777,0.28,0.49,0.58
North Sea,cod.27.47d20,1964,735304,138581,0.515,130049,125393,1,2-4,2022,69841,97777,97777,0.28,0.49,0.58
North Sea,cod.27.47d20,1965,979441,162757,0.57,209092,180120,1,2-4,2022,69841,97777,97777,0.28,0.49,0.58
North Sea,cod.27.47d20,1966,1193002,182574,0.574,258059,220197,1,2-4,2022,69841,97777,97777,0.28,0.49,0.58
North Sea,cod.27.47d20,1967,1015848,205322,0.618,274972,251687,1,2-4,2022,69841,97777,97777,0.28,0.49,0.58
North Sea,cod.27.47d20,1968,505145,209979,0.656,304417,286948,1,2-4,2022,69841,97777,97777,0.28,0.49,0.58
North Sea,cod.27.47d20,1969,438697,208284,0.61,204503,199746,1,2-4,2022,69841,97777,97777,0.28,0.49,0.58
North Sea,cod.27.47d20,1970,1469677,213929,0.645,242656,224993,1,2-4,2022,69841,97777,97777,0.28,0.49,0.58
North Sea,cod.27.47d20,1971,1949023,220614,0.745,410498,326492,1,2-4,2022,69841,97777,97777,0.28,0.49,0.58
North Sea,cod.27.47d20,1972,482251,201619,0.817,385764,352161,1,2-4,2022,69841,97777,97777,0.28,0.49,0.58
North Sea,cod.27.47d20,1973,696940,166614,0.788,267840,237874,1,2-4,2022,69841,97777,97777,0.28,0.49,0.58
North Sea,cod.27.47d20,1974,691259,178411,0.745,252748,213215,1,2-4,2022,69841,97777,97777,0.28,0.49,0.58
North Sea,cod.27.47d20,1975,1189072,169146,0.808,241089,204249,1,2-4,2022,69841,97777,97777,0.28,0.49,0.58
North Sea,cod.27.47d20,1976,806197,146131,0.868,305404,233007,1,2-4,2022,69841,97777,97777,0.28,0.49,0.58
North Sea,cod.27.47d20,1977,1985757,122529,0.818,347345,208318,1,2-4,2022,69841,97777,97777,0.28,0.49,0.58
