Stock,Code,Year,Rec,SSB,F,Catches,Landings,RecAge,FAge,Assmt,Blim,Bpa,MSYBtrigger,FMSY,Fpa,Flim
W Baltic,cod.27.22-24,1985,47412,35840,1.171,NA,33188,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,1986,132126,24626,1.157,NA,20088,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,1987,43683,26063,1.137,NA,21692,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,1988,19280,27355,1.13,NA,20672,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,1989,22649,19435,1.128,NA,12795,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,1990,35804,13578,1.15,NA,12237,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,1991,58495,11928,1.178,NA,12931,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,1992,116204,13860,1.195,NA,15672,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,1993,42902,22016,1.186,NA,11815,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,1994,96480,32068,1.171,NA,16642,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,1995,155746,36840,1.188,NA,28310,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,1996,43083,47491,1.171,NA,38505,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,1997,134857,49784,1.177,NA,37077,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,1998,217458,37351,1.184,NA,29634,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,1999,75488,41734,1.214,NA,35934,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2000,77002,39541,1.21,NA,31132,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2001,50016,36051,1.204,NA,27781,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2002,106148,32491,1.177,NA,20410,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2003,30176,29344,1.137,NA,17205,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2004,117717,28603,1.107,NA,17686,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2005,33530,33112,1.064,NA,18493,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2006,38355,31613,1.007,NA,18503,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2007,11458,29126,0.992,NA,17384,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2008,4236,20356,1.003,NA,11302,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2009,47789,14812,1.009,NA,7313,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2010,16452,14243,1.014,NA,8007,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2011,25450,14612,0.998,NA,9107,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2012,19437,15849,0.982,NA,8622,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2013,48989,13060,0.997,NA,7697,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2014,28030,16397,0.973,NA,8083,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2015,16605,17420,0.957,NA,8390,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2016,3191,12742,0.949,NA,6122,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2017,57165,9209,0.935,NA,3861,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2018,2182,10456,0.923,NA,3555,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2019,3590,12896,0.915,NA,6103,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2020,8972,9133,0.905,NA,2900,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2021,15456,5303,0.896,NA,1065,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
W Baltic,cod.27.22-24,2022,28524,5661,NA,NA,NA,1,3-5,2022,15067,23492,23492,0.26,0.689,1.23
