Stock,Code,Year,Rec,SSB,F,Catches,Landings,RecAge,FAge,Assmt,Blim,Bpa,Bmanagement,MSYBtrigger
Iceland,cod.27.5a,1985,139635,165802,0.377,323428,323428,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,1986,304358,192553,0.445,364797,364797,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,1987,252709,145405,0.384,389915,389915,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,1988,176299,160845,0.372,377554,377554,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,1989,96684,162245,0.361,363125,363125,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,1990,131194,197920,0.388,335316,335316,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,1991,113530,156117,0.4,307759,307759,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,1992,170685,142406,0.453,264834,264834,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,1993,126175,115170,0.336,250704,250704,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,1994,81661,153223,0.299,178138,178138,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,1995,145778,175061,0.31,168592,168592,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,1996,160627,158846,0.284,180701,180701,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,1997,94288,192841,0.289,203112,203112,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,1998,159118,201744,0.346,243987,243987,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,1999,76761,176593,0.334,260147,260147,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2000,162911,161860,0.4,235092,235092,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2001,150732,158671,0.334,236702,236702,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2002,157158,190865,0.298,209544,209544,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2003,174679,187245,0.303,207246,207246,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2004,88793,193716,0.275,228342,228342,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2005,150405,221869,0.281,213867,213867,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2006,131376,212882,0.265,197202,197202,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2007,98021,196769,0.238,171646,171646,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2008,127741,247304,0.259,147676,147676,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2009,115446,227135,0.239,183320,183320,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2010,126170,255854,0.221,170025,170025,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2011,167826,313169,0.228,172218,172218,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2012,179497,346901,0.227,196171,196171,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2013,129963,367471,0.207,223582,223582,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2014,168696,336406,0.209,222021,222021,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2015,142943,444645,0.21,230165,230165,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2016,95503,388648,0.205,251219,251219,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2017,150494,515231,0.231,243945,243945,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2018,165074,500243,0.228,267221,267221,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2019,113921,441991,0.242,263025,263025,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2020,142871,390638,0.266,270302,270302,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2021,129098,376686,0.237,265740,265740,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2022,168436,383624,0.204,242192,242192,3,5-10,2023,125000,160000,220000,265000
Iceland,cod.27.5a,2023,140691,368345,NA,NA,NA,3,5-10,2023,125000,160000,220000,265000
