Stock,Code,Year,Rec,SSB,F,Catches,Landings,RecAge,FAge,Assmt,Blim,Bpa
E Baltic,cod.27.24-32,2014,2602870,111502,0.388,45289,34364,0,4-6,2023,108942,122114
E Baltic,cod.27.24-32,2015,1757580,132347,0.38,50008,43108,0,4-6,2023,108942,122114
E Baltic,cod.27.24-32,2016,2756890,113740,0.298,37438,33854,0,4-6,2023,108942,122114
E Baltic,cod.27.24-32,2017,2165040,85337,0.307,30965,27500,0,4-6,2023,108942,122114
E Baltic,cod.27.24-32,2018,1279890,73682,0.267,21605,18202,0,4-6,2023,108942,122114
E Baltic,cod.27.24-32,2019,2586840,68094,0.16,11938,9980,0,4-6,2023,108942,122114
E Baltic,cod.27.24-32,2020,2344850,64835,0.039,2899,2748,0,4-6,2023,108942,122114
E Baltic,cod.27.24-32,2021,1600960,69026,0.024,1764,1651,0,4-6,2023,108942,122114
E Baltic,cod.27.24-32,2022,1995510,76713,0.015,1181,1146,0,4-6,2023,108942,122114
E Baltic,cod.27.24-32,2023,1995510,76903,NA,NA,NA,0,4-6,2023,108942,122114
