year,1,2,3,4,5,6,7+
2007,0.062,0.425,0.877,0.91,1.023,1.023,1.023
2008,0.06,0.422,0.895,0.968,1.129,1.129,1.129
2009,0.058,0.413,0.888,0.999,1.187,1.187,1.187
2010,0.054,0.388,0.853,0.994,1.2,1.2,1.2
2011,0.049,0.358,0.801,0.945,1.132,1.132,1.132
2012,0.048,0.352,0.788,0.921,1.069,1.069,1.069
2013,0.057,0.424,0.967,1.137,1.309,1.309,1.309
2014,0.051,0.376,0.841,0.956,1.079,1.079,1.079
2015,0.047,0.345,0.767,0.85,0.954,0.954,0.954
2016,0.042,0.308,0.683,0.751,0.841,0.841,0.841
2017,0.034,0.244,0.539,0.593,0.671,0.671,0.671
