"","Sinclair_Z","low90%","high90%"
1966.5,NA,NA,NA
1967.5,NA,NA,NA
1968.5,NA,NA,NA
1969.5,NA,NA,NA
1970.5,NA,NA,NA
1971.5,NA,NA,NA
1972.5,NA,NA,NA
1973.5,NA,NA,NA
1974.5,NA,NA,NA
1975.5,NA,NA,NA
1976.5,NA,NA,NA
1977.5,NA,NA,NA
1978.5,NA,NA,NA
1979.5,NA,NA,NA
1980.5,NA,NA,NA
1981.5,NA,NA,NA
1982.5,NA,NA,NA
1983.5,NA,NA,NA
1984.5,NA,NA,NA
1985.5,NA,NA,NA
1986.5,NA,NA,NA
1987.5,0.604787213034627,0.0398721913513306,1.16970223471792
1988.5,0.898458863297189,0.369555002148271,1.42736272444611
1989.5,1.33388579607117,1.06262206603686,1.60514952610548
1990.5,1.14642738566295,0.811872641893344,1.48098212943257
1991.5,1.06251602770974,0.826350018309345,1.29868203711013
1992.5,0.890730049672292,0.61196641409295,1.16949368525163
1993.5,0.866626579262437,0.567160423732118,1.16609273479276
1994.5,0.788468915820943,0.541129625301302,1.03580820634058
1995.5,0.692251945233773,0.390496517474584,0.994007372992962
1996.5,0.559743742416913,0.318192790195393,0.801294694638432
1997.5,0.251638558132,-0.0396976033414624,0.542974719605463
1998.5,0.574835420221606,0.144307370731921,1.00536346971129
1999.5,0.779958066608082,0.387993707365818,1.17192242585035
2000.5,0.834165502807342,0.471468092538611,1.19686291307607
2001.5,0.307162475220687,0.0939661053803861,0.520358845060989
2002.5,0.385646761379282,0.0984848216936803,0.672808701064885
2003.5,0.772718720188516,0.541981498938415,1.00345594143862
2004.5,0.306909348279208,-0.122990942356663,0.736809638915079
2005.5,0.152169634543653,-0.198350771354419,0.502690040441726
2006.5,0.243697225865973,-0.119377230333922,0.606771682065868
2007.5,0.545825043162083,0.369146818438686,0.722503267885481
2008.5,0.742507251063757,0.43995715947884,1.04505734264867
2009.5,0.958818437117357,0.666771582363231,1.25086529187148
2010.5,1.21884548300848,0.978658026748851,1.45903293926811
2011.5,1.04953670605738,0.795689069606235,1.30338434250853
2012.5,1.05757592409714,0.797119453767404,1.31803239442688
