"%SPR","F(%SPR)","YPR","SSB.PR","Freport_5-5"
0.2,0.735411826811139,0.0282501206808905,0.0318944550751445,0.735411826811139
0.25,0.589304245672147,0.0270562906916125,0.0398680688449913,0.589304245672147
0.3,0.481713576506025,0.0257242951997176,0.047841682438992,0.481713576506025
0.35,0.398757835385531,0.0242798826481137,0.0558152962947963,0.398757835385531
0.4,0.332592181582111,0.0227410517823514,0.0637889101024944,0.332592181582111
0.45,0.278422236758369,0.021121280417928,0.0717625237340169,0.278422236758369
0.5,0.23314251840137,0.0194311256413504,0.079736137854002,0.23314251840137
0.55,0.194648311889173,0.017679111912798,0.0877097513733087,0.194648311889173
0.6,0.161460108156125,0.0158722702714108,0.0956833652261218,0.161460108156125
0.65,0.132506037657748,0.0140164928754742,0.103656979009923,0.132506037657748
0.7,0.106989560047232,0.0121167781422126,0.111630592613627,0.106989560047232
0.75,0.0843057353849235,0.0101774085653033,0.119604206480775,0.0843057353849235
0.8,0.063986417118664,0.00820208422662981,0.12757782033659,0.063986417118664
