"RunBupdate_NoLC_Final_FixFall_000","Value"
"N_parameters",177
"total",6328.472
"catch.total",-229.8576
"catch.fleet1",0
"catch.fleet2",0
"discard.total",0
"discard.fleet1",0
"discard.fleet2",0
"index.fit.total",12.06597
"index.fit.ind01",5.519053
"index.fit.ind02",6.54692
"catch.age.comp",4419.434
"discards.age.comp",0
"index.age.comp",1999.718
"sel.param.total",12.96563
"index.sel.param.t",0
"q.year1",0
"q.devs",0
"Fmult.year1.total",0
"Fmult.devs.total",0
"N.year1",111.2431
"Recruit.devs",2.902578
"SR.steepness",0
"SR.scaler",0
"Fmult.Max.penalty",0
"F.penalty",0
