Year,SSB
1997,10503
1998,7955
1999,7539
2000,5752
2001,4950
2002,4780
2003,4184
2004,3855
2005,4838
2006,5120
2007,3607
2008,2190
2009,904
2010,775
2011,1105
2012,1396
2013,2444
2014,3482
2015,5640
2016,4435
2017,2421
2018,2157
