year,	fleet,	age,	logObs,	pred,	predSd
2014,	2,	1,	5.79524023857782,	4.82107638744134,	0.679123593162101
2014,	2,	2,	5.1753321068836,	4.96672377157837,	0.655903787332257
2014,	2,	3,	5.62680386112568,	5.88093260770997,	0.63943296851797
2014,	2,	4,	5.1171764227562,	5.50797155984101,	0.637001457961106
2014,	2,	5,	4.88198424974667,	5.14348170903369,	0.637644897759496
2014,	2,	6,	4.4299994571725,	4.38499131784279,	0.644433254152152
2014,	2,	7,	4.04223399518629,	4.59379312693118,	0.646615886209579
2014,	3,	2,	4.32994690652309,	4.84705678442351,	0.993757884916098
2014,	3,	3,	5.74860632721036,	6.90975269294853,	0.984188763255856
2014,	3,	4,	5.90729654806701,	7.06060330922824,	0.983565107453321
2014,	3,	5,	5.70964061353843,	6.48505648074849,	0.98433441073984
2014,	3,	6,	4.66265258140145,	5.09436832636143,	0.986488891549612
2014,	3,	7,	4.66265258140145,	5.31361032504187,	0.986220766582946
2014,	4,	1,	0.886503331666086,	0.650869339577225,	0.727136191942334
2014,	4,	2,	0.800613501452772,	0.109160125955226,	0.705672751459313
2014,	4,	3,	0.327915849205882,	0.760314520094287,	0.690702873324483
2014,	4,	4,	-0.599224930757741,	0.349060998858314,	0.688682701934016
2014,	4,	5,	-1.31072121599935,	-0.153910422327332,	0.689358874767349
2014,	4,	6,	-1.89850782749407,	-0.654635704150956,	1.36819314876693
2014,	4,	7,	-1.66211907472808,	-0.443834709821537,	1.36877234265014
2015,	2,	1,	5.4818834685742,	4.94518346404662,	0.721517877336593
2015,	2,	2,	5.26910262151202,	6.24912239680185,	0.682979124035358
2015,	2,	3,	4.92849799763576,	5.46046392853899,	0.662342502968349
2015,	2,	4,	4.34504996708589,	5.16906679019674,	0.65985690954696
2015,	2,	5,	4.02659623596735,	4.86095621601802,	0.655454706965219
2015,	2,	6,	3.36854037521868,	4.01230264135106,	0.663321105200319
2015,	2,	7,	4.23535104982946,	4.69595909619397,	0.663083364042126
2015,	3,	2,	6.57713440718656,	6.12183454126314,	1.01341402801514
2015,	3,	3,	5.56379322728255,	6.47978798964719,	1.00133428075876
2015,	3,	4,	5.42422282582886,	6.7225290080813,	1.00033702774886
2015,	3,	5,	4.40599218423749,	6.20664024385217,	0.99729989942095
2015,	3,	6,	3.87047397584861,	4.73064667695583,	0.999777484694868
2015,	3,	7,	3.66283452286523,	5.4230135386178,	0.997489314219591
2015,	4,	1,	0.886803577977807,	0.774818103023127,	0.766935284758002
2015,	4,	2,	1.15579372457638,	1.39009943595627,	0.731321734707675
2015,	4,	3,	0.818692160457887,	0.338027453323881,	0.712517775718956
2015,	4,	4,	0.0187153933342219,	0.0103152550965074,	0.710353975090293
2015,	4,	5,	-2.30367220068154,	-0.435649036511637,	0.70621690247079
2015,	4,	6,	-2.30367220068154,	-1.0256072903496,	1.37729876534474
2015,	4,	7,	-2.30367220068154,	-0.340282885264744,	1.37667313037485
2016,	2,	1,	6.55792145229055,	4.98303139575467,	0.776399479837759
2016,	2,	2,	7.4345717363808,	6.1887872625582,	0.734768262336216
2016,	2,	3,	6.67175663070738,	6.37170676137731,	0.704804663581243
2016,	2,	4,	4.6148445198467,	4.89488989572444,	0.690443947978466
2016,	2,	5,	5.02360427848434,	4.66768583458523,	0.684012466166773
2016,	2,	6,	4.18937878850021,	3.77856056728398,	0.683333031429573
2016,	2,	7,	4.73592220603256,	4.82994825598835,	0.677906140617598
2016,	3,	2,	3.61091781318476,	6.06276753638754,	1.05037240062719
2016,	3,	3,	6.99850961521864,	7.39683353557782,	1.03186413147196
2016,	3,	4,	6.09807411587409,	6.45437404288291,	1.02261230092646
2016,	3,	5,	5.11799384355448,	6.01694232008702,	1.01806866115217
2016,	3,	6,	3.21887606246817,	4.49961917611815,	1.01427036168427
2016,	3,	7,	4.17438733820333,	5.55784942465343,	1.00824734115609
2016,	4,	1,	1.94448058857762,	0.812686039512678,	0.818807286170734
2016,	4,	2,	1.49962308794475,	1.33000713499586,	0.780254499314323
2016,	4,	3,	0.936093327797785,	1.25038144398839,	0.75265803737914
2016,	4,	4,	-0.261364814783759,	-0.26270850398292,	0.739331773218327
2016,	4,	5,	-1.66073101945325,	-0.628235330305944,	0.733260381685604
2016,	4,	6,	-2.99573224555399,	-1.25882955252169,	1.38723536721749
2016,	4,	7,	-2.20727488518972,	-0.206131586402891,	1.38402839862874
