"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m1",13907.8,8225.2,0.489,-0.0964,0.127
"m2",339.9,-5342.7,0.891,0.37,-0.3253
"m3",12763.6,7081,0.1541,-0.0051,-0.0479
"m4",0,-5682.6,0.6564,0.1529,-0.1516
